Mode,Period,From,To,Magic,Ini,Set,RejectReason,Count
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,pattern_adx_bucket_filter_failed,339
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,rr_too_low,1
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,spread_too_wide,18
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,total_open_risk_blocked,77
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,trend_alignment_filter_failed,1288
C_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052303,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-c_short_mode-2025-usdjpy.set,weekly_loss_r_blocked,14
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,break_candle_strength_filter_failed,26
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,daily_loss_r_blocked,2
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,direction_filter_failed,453
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,entry_open_count_filter_failed,17
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,fibo_filter_failed,9
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,pattern_adx_bucket_filter_failed,144
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,spread_too_wide,2
J_SHORT_MODE,2026q1,2026.01.01,2026.03.30,2026052304,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2026q1-usdjpy.set,trend_alignment_filter_failed,208
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,break_candle_strength_filter_failed,27
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,daily_loss_r_blocked,1
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,direction_filter_failed,489
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,entry_open_count_filter_failed,9
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,pattern_adx_bucket_filter_failed,108
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,rr_too_low,1
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,spread_too_wide,5
J_SHORT_MODE,2025q4,2025.10.01,2025.12.31,2026052305,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025q4-usdjpy.set,trend_alignment_filter_failed,243
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,break_candle_strength_filter_failed,87
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,daily_loss_r_blocked,7
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,direction_filter_failed,1861
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,entry_open_count_filter_failed,55
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,fibo_filter_failed,83
J_SHORT_MODE,2025,2025.01.01,2025.12.31,2026052306,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.ini,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-live-smoke-j_short_mode-2025-usdjpy.set,pattern_adx_bucket_filter_failed,339
