session,trend_mode,min_breakout_persist,min_spread_z,max_spread_pips,cooldown_bars,stop_loss_pips,target_r,max_hold_bars,train_trades,train_tpd,train_expectancy_r,train_win_rate,test_trades,test_tpd,test_expectancy_r,test_win_rate,score
london_ny,ema_up,2,0.0,2.0,0,15.0,1.2,6,154,0.40004690304599205,0.03636363636362927,0.5194805194805194,78,0.9016979087223538,-0.07273504273504612,0.4358974358974359,0.1241151082149231
all,ema_up,2,0.0,2.0,0,10.0,1.0,12,230,0.5974726474063518,-0.052782608695653474,0.5347826086956522,116,1.3387833613849485,-0.1405172413793153,0.5086206896551724,0.12330644852174763
all,ema_up,2,0.0,2.0,3,12.0,1.0,6,204,0.5299322611778077,-0.06589052287582291,0.47549019607843135,97,1.119499879778793,-0.09424398625430834,0.4845360824742268,0.12262667189730245
london_ny,ema_up,1,0.0,2.0,3,12.0,1.2,12,365,0.9302160947206343,-0.029018264840185923,0.5123287671232877,146,1.6322981366459628,-0.2763127853881276,0.3972602739726027,0.12124127830485694
london_ny,ema_up,1,0.0,2.0,0,12.0,1.2,6,452,1.1519694167411485,-0.06532079646017815,0.48008849557522126,187,2.090683229813665,-0.22303921568627655,0.40641711229946526,0.12082044630961782
london_ny,any,2,0.0,2.0,3,12.0,1.2,6,549,1.39216186945841,-0.08682452944748519,0.4553734061930783,208,2.4045277565929433,-0.12431891025641267,0.49038461538461536,0.12006634245155073
london_ny,ema_up,2,0.0,2.0,0,15.0,1.0,6,155,0.4026446102086284,0.01952688172042517,0.5290322580645161,79,0.9132581383213583,-0.07898734177215494,0.4430379746835443,0.11964540495992124
london_ny,ema_up,1,0.0,2.0,0,10.0,1.2,6,476,1.213092994239295,-0.04586134453781736,0.49369747899159666,204,2.280745341614907,-0.2247058823529479,0.4362745098039216,0.11540381011572301
all,ema_up,2,0.0,2.0,3,12.0,1.2,6,204,0.5299322611778077,-0.06196895424837338,0.46078431372549017,97,1.119499879778793,-0.1060996563573969,0.4639175257731959,0.11527878428865235
all,ema_up,2,0.0,2.0,3,12.0,1.2,12,200,0.5195414325272625,-0.07504166666667128,0.48,94,1.0848761721567686,-0.1090425531914873,0.48936170212765956,0.11276697444871492
london_ny,ema_up,2,0.0,2.0,0,12.0,1.0,12,162,0.42082856034708255,-0.042232510288067245,0.5308641975308642,80,0.9248183679203628,-0.0967708333333347,0.5375,0.11246554488834565
london_ny,ema_up,1,0.0,2.0,0,10.0,1.0,6,491,1.2513207146459953,-0.06643584521385254,0.5173116089613035,215,2.4037267080745344,-0.21451162790698172,0.46511627906976744,0.11229566382493059
all,ema_up,2,0.0,2.0,0,10.0,1.2,6,231,0.600070354568988,-0.043766233766240975,0.4805194805194805,113,1.3041596537629239,-0.15477876106195815,0.46017699115044247,0.11165405482368654
all,ema_up,2,0.0,2.0,0,10.0,1.2,12,229,0.5948749402437155,-0.02515283842794887,0.5065502183406113,111,1.2810771820149074,-0.16477477477477612,0.4594594594594595,0.11106922857748058
