period_id,variant,month,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,structure_target_exits,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,m15light_m5score,2025-10,4,2,0.5,33.01,50.849999999999994,-17.84,2.8503363228699548,1.3046,0.32615,2.814464534075104,9.94,0.09939999999999999,3.3209255533199196,0,0.0,1,0.25,3,0.75,0,0.9241,0.4254,0.75,0.5,0.5,0.25,0.0
full2025_validation,m15score_m5req,2025-02,2,0,0.0,-8.65,0,-8.65,0.0,-0.3543,-0.17715,0.0,8.65,0.0865,-1.0,0,0.0,0,0.0,2,1.0,0,0.59085,0.31289999999999996,0.5,0.5,0.0,0.0,0.0
full2025_validation,m15score_m5req,2025-03,1,0,0.0,-9.18,0,-9.18,0.0,-0.3811,-0.3811,0.0,9.18,0.09179999999999999,-1.0,0,0.0,0,0.0,1,1.0,0,0.125,0.3872,0.0,0.0,0.0,0.0,0.0
full2025_validation,m15score_m5req,2025-04,10,3,0.3,-43.63999999999999,66.49000000000001,-110.13,0.6037410333242532,-1.9357,-0.19357,0.5873059866962306,93.74,0.9373999999999999,-0.46554299125240023,2,0.2,2,0.2,6,0.6,0,0.58066,0.73848,0.4,0.3,0.2,0.1,0.0
full2025_validation,m15score_m5req,2025-07,2,1,0.5,22.15,31.41,-9.26,3.3920086393088553,0.901,0.4505,3.2385093167701866,9.26,0.0926,2.3920086393088553,0,0.0,1,0.5,1,0.5,0,0.7887000000000001,0.60405,0.5,0.5,0.5,0.5,0.0
full2025_validation,m15score_m5req,2025-08,1,0,0.0,-14.63,0,-14.63,0.0,-0.5882,-0.5882,0.0,14.63,0.1463,-1.0,0,0.0,0,0.0,1,1.0,0,0.8382,0.875,1.0,1.0,0.0,0.0,0.0
full2025_validation,m15score_m5req,2025-09,1,0,0.0,-6.78,0,-6.78,0.0,-0.3043,-0.3043,0.0,6.78,0.0678,-1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.4255,0.0,0.0,0.0,0.0,0.0
full2025_validation,m15score_m5req,2025-10,1,0,0.0,-9.51,0,-9.51,0.0,-0.4,-0.4,0.0,9.51,0.0951,-1.0,0,0.0,0,0.0,1,1.0,0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
full2025_validation,m5accept,2025-02,2,1,0.5,24.990000000000002,30.89,-5.9,5.235593220338983,1.0624,0.5312,5.461990760184796,5.9,0.059000000000000004,4.235593220338983,0,0.0,1,0.5,1,0.5,0,0.7565999999999999,0.17395,0.5,0.5,0.5,0.5,0.0
full2025_validation,m5accept,2025-03,1,0,0.0,-9.18,0,-9.18,0.0,-0.3811,-0.3811,0.0,9.18,0.09179999999999999,-1.0,0,0.0,0,0.0,1,1.0,0,0.125,0.3872,0.0,0.0,0.0,0.0,0.0
full2025_validation,m5accept,2025-04,5,2,0.4,-9.09,35.21,-44.3,0.7948081264108353,-0.45660000000000023,-0.09132000000000004,0.7612049578996914,36.61,0.3661,-0.24829281617044524,1,0.2,1,0.2,3,0.6,0,0.6169800000000001,0.754,0.6,0.4,0.2,0.2,0.0
full2025_validation,m5accept,2025-09,1,0,0.0,-7.02,0,-7.02,0.0,-0.3043,-0.3043,0.0,7.02,0.0702,-1.0,0,0.0,0,0.0,1,1.0,0,0.0,0.4255,0.0,0.0,0.0,0.0,0.0
full2025_validation,m5accept,2025-10,1,0,0.0,-9.08,0,-9.08,0.0,-0.4,-0.4,0.0,9.08,0.09079999999999999,-1.0,0,0.0,0,0.0,1,1.0,0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
full2025_validation,m5diag,2025-01,31,9,0.2903225806451613,-156.71000000000004,166.32000000000002,-323.03,0.514874779432251,-6.2808,-0.20260645161290322,0.5305724343595147,180.94000000000003,1.8094000000000003,-0.8660882060351498,7,0.22580645161290322,5,0.16129032258064516,19,0.6129032258064516,0,0.6011387096774192,0.6186677419354837,0.5483870967741935,0.2903225806451613,0.22580645161290322,0.12903225806451613,0.0
full2025_validation,m5diag,2025-02,29,4,0.13793103448275862,-277.85999999999996,42.470000000000006,-320.33,0.1325820247869385,-11.959200000000001,-0.41238620689655175,0.12996158770806654,277.85999999999996,2.7785999999999995,-1.0,4,0.13793103448275862,1,0.034482758620689655,24,0.8275862068965517,0,0.40250689655172417,0.5725448275862071,0.3103448275862069,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.0
full2025_validation,m5diag,2025-03,48,13,0.2708333333333333,-136.87,263.25999999999993,-400.12999999999994,0.6579361707445079,-5.8870000000000005,-0.12264583333333334,0.66319198114287,199.91,1.9990999999999999,-0.6846580961432644,5,0.10416666666666667,7,0.14583333333333334,36,0.75,0,0.6343958333333336,0.5461458333333334,0.5416666666666666,0.3958333333333333,0.2708333333333333,0.14583333333333334,0.0
full2025_validation,m5diag,2025-04,91,26,0.2857142857142857,-119.37000000000002,641.1199999999999,-760.4900000000002,0.8430354113795049,-5.465199999999999,-0.06005714285714285,0.8403920400450918,201.49,2.0149,-0.5924363491984714,9,0.0989010989010989,21,0.23076923076923078,61,0.6703296703296703,0,0.706868131868132,0.5850802197802196,0.5824175824175825,0.4175824175824176,0.3516483516483517,0.18681318681318682,0.0
