Preset,DirectionFilter,Month,Trades,ProfitR,ExpectancyR
C,LONG_ONLY,2024-06,3,-0.497382199,-0.16579406633333335
C,LONG_ONLY,2024-07,18,-2.9982935154000003,-0.16657186196666668
C,LONG_ONLY,2024-08,27,-7.004745983,-0.2594350364074074
C,LONG_ONLY,2024-09,16,-0.9959106921,-0.06224441825625
C,LONG_ONLY,2024-11,6,-3.5,-0.5833333333333334
C,LONG_ONLY,2024-12,10,0.0005729421999998152,5.729421999998152e-05
C,LONG_ONLY,2025-01,18,7.0029396696,0.38905220386666667
C,LONG_ONLY,2025-02,30,-2.4900440714999994,-0.08300146904999998
C,LONG_ONLY,2025-03,15,-4.9995041876,-0.3333002791733334
C,LONG_ONLY,2025-04,25,-7.495823340199999,-0.29983293360799995
C,LONG_ONLY,2025-05,8,-2.9995426108,-0.37494282635
C,LONG_ONLY,2025-06,13,4.4987249218,0.3460557632153846
C,LONG_ONLY,2025-07,11,-1.0013123359999998,-0.09102839418181817
C,LONG_ONLY,2025-08,23,4.503150677200001,0.1957891598782609
C,LONG_ONLY,2025-09,10,2.4980988592999998,0.24980988592999998
C,LONG_ONLY,2025-10,9,-1.508671103,-0.16763012255555554
C,LONG_ONLY,2025-12,11,-0.9978452338999997,-0.09071320308181816
C,LONG_ONLY,2026-01,11,-3.5,-0.3181818181818182
C,LONG_ONLY,2026-02,10,-2.4962070953,-0.24962070952999998
C,SHORT_ONLY,2024-01,31,-0.9995758975999998,-0.03224438379354838
C,SHORT_ONLY,2024-02,33,9.5037110168,0.28799124293333334
C,SHORT_ONLY,2024-03,17,5.4759645821,0.32211556365294114
C,SHORT_ONLY,2024-04,37,-12.006151743,-0.32449058764864863
C,SHORT_ONLY,2024-05,34,15.9906813299,0.4703141567617647
C,SHORT_ONLY,2024-06,29,0.9905227269999999,0.03415595610344827
C,SHORT_ONLY,2024-07,13,1.9972067038999999,0.1536312849153846
C,SHORT_ONLY,2024-08,2,2.9985507246000003,1.4992753623000001
C,SHORT_ONLY,2024-09,12,-2.0032854553000004,-0.16694045460833337
C,SHORT_ONLY,2024-10,40,-7.4913748356999985,-0.18728437089249997
C,SHORT_ONLY,2024-11,17,7.9994579336000005,0.47055634903529414
C,SHORT_ONLY,2024-12,19,0.9942769503999997,0.0523303658105263
C,SHORT_ONLY,2025-01,16,11.4871765653,0.71794853533125
C,SHORT_ONLY,2025-03,17,2.9998775643,0.17646338613529414
C,SHORT_ONLY,2025-04,1,1.496124031,1.496124031
C,SHORT_ONLY,2025-05,18,14.5000053301,0.8055558516722222
C,SHORT_ONLY,2025-06,18,4.500779134300001,0.25004328523888897
C,SHORT_ONLY,2025-07,23,-0.5054911211000002,-0.02197787483043479
C,SHORT_ONLY,2025-08,9,10.9882297403,1.220914415588889
C,SHORT_ONLY,2025-09,13,-0.4962424328000006,-0.038172494830769274
C,SHORT_ONLY,2025-10,22,-9.5,-0.4318181818181818
C,SHORT_ONLY,2025-11,25,7.505151506899999,0.30020606027599994
C,SHORT_ONLY,2025-12,9,3.4984328694,0.3887147632666667
C,SHORT_ONLY,2026-01,16,1.5001764509000002,0.09376102818125001
C,SHORT_ONLY,2026-02,10,2.4987280051000003,0.24987280051000002
C,SHORT_ONLY,2026-03,24,0.9947684456999997,0.041448685237499984
H,ANY,2024-01,26,1.5069176088999998,0.057958369573076915
H,ANY,2024-02,34,8.5053832576,0.25015833110588237
H,ANY,2024-03,21,3.9747780013,0.18927514291904762
H,ANY,2024-04,31,-13.506151743,-0.4356823142903226
H,ANY,2024-05,29,10.993495588799998,0.3790860547862068
H,ANY,2024-06,21,1.5002764549999998,0.07144173595238094
H,ANY,2024-07,24,-6.4982935154,-0.27076222980833337
H,ANY,2024-08,23,-3.0031649554,-0.1305723893652174
H,ANY,2024-09,23,-0.49665807630000014,-0.02159382940434783
H,ANY,2024-10,29,-1.491635591900001,-0.051435710065517275
H,ANY,2024-11,18,2.0012625501,0.11118125278333332
H,ANY,2024-12,25,2.4967368523999998,0.09986947409599999
H,ANY,2025-01,28,14.4863568364,0.5173698870142858
H,ANY,2025-02,24,-3.994198469099999,-0.16642493621249996
H,ANY,2025-03,22,-1.999626623300001,-0.09089211924090913
H,ANY,2025-04,23,-5.4996993091999995,-0.2391173612695652
H,ANY,2025-05,20,2.4982002759000004,0.12491001379500002
H,ANY,2025-06,26,6.4937569297,0.24975988191153847
H,ANY,2025-07,27,-2.0034921988,-0.07420341477037037
H,ANY,2025-08,24,10.9985339195,0.4582722466458333
H,ANY,2025-09,19,1.0035513418000002,0.05281849167368422
H,ANY,2025-10,29,-6.5061585402,-0.22435029448965518
H,ANY,2025-11,22,5.5051515069,0.25023415940454546
H,ANY,2025-12,15,2.4973196616000006,0.16648797744000005
H,ANY,2026-01,17,3.0001764509,0.17648096770000002
H,ANY,2026-02,14,1.0006482506,0.07147487504285714
H,ANY,2026-03,19,5.9999520193999984,0.3157869483894736
H,LONG_ONLY,2024-01,1,1.5,1.5
H,LONG_ONLY,2024-02,4,1.0016722408,0.2504180602
H,LONG_ONLY,2024-03,7,-2.0011865808000002,-0.2858837972571429
H,LONG_ONLY,2024-05,5,5.0056224138,1.00112448276
H,LONG_ONLY,2024-06,2,0.502617801,0.2513089005
H,LONG_ONLY,2024-07,13,-5.4982935154,-0.42294565503076925
H,LONG_ONLY,2024-08,21,-6.00171568,-0.28579598476190476
H,LONG_ONLY,2024-09,13,2.0040893079,0.1541607159923077
H,LONG_ONLY,2024-11,6,-3.5,-0.5833333333333334
H,LONG_ONLY,2024-12,9,1.002459902,0.11138443355555555
H,LONG_ONLY,2025-01,14,3.5029396696,0.2502099764
H,LONG_ONLY,2025-02,24,-3.994198469099999,-0.16642493621249996
H,LONG_ONLY,2025-03,10,-4.9995041876,-0.49995041876
H,LONG_ONLY,2025-04,22,-6.995823340199999,-0.3179919700090909
H,LONG_ONLY,2025-05,7,-4.5018050542,-0.6431150077428571
H,LONG_ONLY,2025-06,12,2.9987249218,0.24989374348333335
H,LONG_ONLY,2025-07,8,-0.501312336,-0.062664042
H,LONG_ONLY,2025-08,17,3.0039349909999995,0.17670205829411761
H,LONG_ONLY,2025-09,8,1.9980988593,0.2497623574125
H,LONG_ONLY,2025-10,7,2.9938414597999996,0.42769163711428565
H,LONG_ONLY,2025-12,9,-1.5011132077999996,-0.16679035642222217
H,LONG_ONLY,2026-01,4,1.0,0.25
H,LONG_ONLY,2026-02,6,-0.9962070953,-0.16603451588333332
H,SHORT_ONLY,2024-01,25,0.006917608899999816,0.0002767043559999927
H,SHORT_ONLY,2024-02,30,7.5037110168,0.25012370056
H,SHORT_ONLY,2024-03,14,5.9759645821,0.42685461300714284
H,SHORT_ONLY,2024-04,31,-13.506151743,-0.4356823142903226
H,SHORT_ONLY,2024-05,24,5.9878731750000025,0.2494947156250001
H,SHORT_ONLY,2024-06,19,0.9976586539999999,0.05250835021052631
H,SHORT_ONLY,2024-07,11,-1.0,-0.09090909090909091
H,SHORT_ONLY,2024-08,2,2.9985507246000003,1.4992753623000001
H,SHORT_ONLY,2024-09,10,-2.5007473842000003,-0.25007473842000005
H,SHORT_ONLY,2024-10,29,-1.491635591900001,-0.051435710065517275
H,SHORT_ONLY,2024-11,12,5.5012625501,0.45843854584166666
H,SHORT_ONLY,2024-12,16,1.4942769504000002,0.09339230940000001
H,SHORT_ONLY,2025-01,14,10.9834171668,0.7845297976285714
H,SHORT_ONLY,2025-03,12,2.9998775643,0.24998979702500002
H,SHORT_ONLY,2025-04,1,1.496124031,1.496124031
H,SHORT_ONLY,2025-05,13,7.0000053301000005,0.5384619484692308
H,SHORT_ONLY,2025-06,14,3.4950320079,0.24964514342142857
H,SHORT_ONLY,2025-07,20,-2.5021798628000003,-0.12510899314
H,SHORT_ONLY,2025-08,7,7.9945989285,1.1420855612142857
H,SHORT_ONLY,2025-09,11,-0.9945475175,-0.09041341068181818
H,SHORT_ONLY,2025-10,22,-9.5,-0.4318181818181818
H,SHORT_ONLY,2025-11,22,5.5051515069,0.25023415940454546
H,SHORT_ONLY,2025-12,7,2.9984328694,0.4283475527714286
H,SHORT_ONLY,2026-01,13,2.0001764509,0.1538597269923077
H,SHORT_ONLY,2026-02,8,1.9968553459,0.2496069182375
H,SHORT_ONLY,2026-03,19,5.9999520193999984,0.3157869483894736
J,ANY,2024-01,21,1.5069176088999998,0.07175798137619047
J,ANY,2024-02,30,7.4866972264,0.24955657421333333
J,ANY,2024-03,18,1.9686051618,0.10936695343333333
J,ANY,2024-04,24,-9.006151743,-0.375256322625
J,ANY,2024-05,23,9.490605415400003,0.41263501806086966
J,ANY,2024-06,21,1.4910567750999997,0.07100270357619046
J,ANY,2024-07,19,-1.4982935154000003,-0.07885755344210528
J,ANY,2024-08,20,-2.5024676052999997,-0.12512338026499997
J,ANY,2024-09,22,0.5026119966999998,0.02284599984999999
J,ANY,2024-10,26,1.5031012501999996,0.05781158654615383
J,ANY,2024-11,17,2.9969890457999995,0.1762934732823529
J,ANY,2024-12,20,-2.4956950795,-0.124784753975
J,ANY,2025-01,25,12.4916231474,0.49966492589600003
J,ANY,2025-02,22,-9.4946284181,-0.43157401900454545
J,ANY,2025-03,20,-2.500959956600001,-0.12504799783000003
J,ANY,2025-04,20,-2.4996993092000013,-0.12498496546000007
J,ANY,2025-05,19,3.4982002759000004,0.18411580399473687
J,ANY,2025-06,21,3.9966905089999996,0.19031859566666665
J,ANY,2025-07,21,1.4941381329999996,0.07114943490476189
J,ANY,2025-08,18,11.9931857742,0.6662880985666667
J,ANY,2025-09,14,-1.4999461364999997,-0.10713900974999999
J,ANY,2025-10,23,-5.4974874372,-0.23902119292173915
J,ANY,2025-11,18,4.499302570799999,0.2499612539333333
J,ANY,2025-12,10,4.9928151571,0.49928151571
J,ANY,2026-01,15,7.4923251352,0.49948834234666667
J,ANY,2026-02,11,4.0006482506,0.3636952955090909
J,ANY,2026-03,14,0.9949984893999995,0.07107132067142853
J,LONG_ONLY,2024-01,1,1.5,1.5
J,LONG_ONLY,2024-02,4,1.0016722408,0.2504180602
J,LONG_ONLY,2024-03,7,-2.0011865808000002,-0.2858837972571429
J,LONG_ONLY,2024-05,4,3.5027322404000003,0.8756830601000001
J,LONG_ONLY,2024-06,2,0.502617801,0.2513089005
J,LONG_ONLY,2024-07,8,-0.49829351540000033,-0.06228668942500004
J,LONG_ONLY,2024-08,18,-5.5010183299,-0.3056121294388889
J,LONG_ONLY,2024-09,13,2.0033593809,0.15410456776153847
J,LONG_ONLY,2024-11,5,-2.5,-0.5
J,LONG_ONLY,2024-12,8,2.002459902,0.25030748775
J,LONG_ONLY,2025-01,13,4.5029396696,0.3463799745846154
J,LONG_ONLY,2025-02,22,-9.4946284181,-0.43157401900454545
J,LONG_ONLY,2025-03,8,-5.5008375209,-0.6876046901125
J,LONG_ONLY,2025-04,19,-3.995823340200001,-0.21030649158947376
J,LONG_ONLY,2025-05,6,-3.5018050542,-0.5836341757
J,LONG_ONLY,2025-06,10,2.5016835017,0.25016835017
J,LONG_ONLY,2025-07,7,0.4963179957999999,0.07090257082857142
J,LONG_ONLY,2025-08,13,6.9977711849999995,0.5382900911538461
J,LONG_ONLY,2025-09,5,0.0,0.0
J,LONG_ONLY,2025-10,6,-0.9974874372,-0.1662479062
J,LONG_ONLY,2025-12,5,-0.005617712299999855,-0.001123542459999971
J,LONG_ONLY,2026-01,4,3.5,0.875
J,LONG_ONLY,2026-02,5,0.0037929047000000438,0.0007585809400000087
J,SHORT_ONLY,2024-01,20,0.006917608899999816,0.0003458804449999908
J,SHORT_ONLY,2024-02,26,6.4850249856,0.2494240379076923
J,SHORT_ONLY,2024-03,11,3.9697917426,0.36089015841818184
J,SHORT_ONLY,2024-04,24,-9.006151743,-0.375256322625
J,SHORT_ONLY,2024-05,19,5.987873175000001,0.3151512197368421
J,SHORT_ONLY,2024-06,19,0.9884389740999999,0.0520231039
J,SHORT_ONLY,2024-07,11,-1.0,-0.09090909090909091
J,SHORT_ONLY,2024-08,2,2.9985507246000003,1.4992753623000001
J,SHORT_ONLY,2024-09,9,-1.5007473842000003,-0.16674970935555558
J,SHORT_ONLY,2024-10,26,1.5031012501999996,0.05781158654615383
J,SHORT_ONLY,2024-11,12,5.4969890457999995,0.4580824204833333
J,SHORT_ONLY,2024-12,12,-4.4981549815,-0.3748462484583333
J,SHORT_ONLY,2025-01,12,7.9886834778,0.66572362315
J,SHORT_ONLY,2025-03,12,2.9998775643,0.24998979702500002
J,SHORT_ONLY,2025-04,1,1.496124031,1.496124031
J,SHORT_ONLY,2025-05,13,7.0000053301000005,0.5384619484692308
J,SHORT_ONLY,2025-06,11,1.4950070073,0.13590972793636363
J,SHORT_ONLY,2025-07,14,0.9978201372,0.07127286694285714
J,SHORT_ONLY,2025-08,5,4.9954145892,0.99908291784
J,SHORT_ONLY,2025-09,9,-1.4999461364999997,-0.1666606818333333
J,SHORT_ONLY,2025-10,17,-4.5,-0.2647058823529412
J,SHORT_ONLY,2025-11,18,4.499302570799999,0.2499612539333333
J,SHORT_ONLY,2025-12,6,3.9984328694,0.6664054782333334
J,SHORT_ONLY,2026-01,11,3.9923251351999998,0.36293864865454545
J,SHORT_ONLY,2026-02,6,3.9968553459000002,0.6661425576500001
J,SHORT_ONLY,2026-03,14,0.9949984893999995,0.07107132067142853
