feature_set,fold,feature,importance
MODEL_X_PLUS_EXISTING,2,cat__symbol_GBPUSD,0
MODEL_X_PLUS_EXISTING,2,cat__symbol_USDCAD,0
MODEL_X_PLUS_EXISTING,2,cat__symbol_USDCHF,0
MODEL_X_PLUS_EXISTING,2,cat__symbol_USDJPY,0
MODEL_X_PLUS_EXISTING,2,cat__shock_direction_LONG,0
MODEL_X_PLUS_EXISTING,2,cat__shock_direction_SHORT,0
MODEL_X_PLUS_EXISTING,2,cat__action_CONTINUATION,0
MODEL_X_PLUS_EXISTING,2,cat__action_REVERSAL,0
MODEL_X_PLUS_EXISTING,2,cat__target_lead_bucket_EARLY,0
MODEL_X_PLUS_EXISTING,2,cat__target_lead_bucket_LATE,0
MODEL_X_PLUS_EXISTING,2,cat__target_lead_bucket_MIDDLE,0
MODEL_X_PLUS_EXISTING,2,cat__target_lead_bucket_NO_CROSSING,0
MODEL_X_PLUS_EXISTING,3,num__action_sign,20
MODEL_X_PLUS_EXISTING,3,num__atr14_m5,10
MODEL_X_PLUS_EXISTING,3,num__target_usd_return_atr_1s,2
MODEL_X_PLUS_EXISTING,3,num__valid_cross_symbols_1s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_count_1s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_1s,0
MODEL_X_PLUS_EXISTING,3,num__usd_consensus_median_1s,16
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_usd_consensus_1s,28
MODEL_X_PLUS_EXISTING,3,num__target_residual_1s,16
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_target_residual_1s,17
MODEL_X_PLUS_EXISTING,3,num__target_usd_return_atr_3s,3
MODEL_X_PLUS_EXISTING,3,num__valid_cross_symbols_3s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_count_3s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_3s,0
MODEL_X_PLUS_EXISTING,3,num__usd_consensus_median_3s,6
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_usd_consensus_3s,20
MODEL_X_PLUS_EXISTING,3,num__target_residual_3s,0
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_target_residual_3s,3
MODEL_X_PLUS_EXISTING,3,num__target_usd_return_atr_5s,0
MODEL_X_PLUS_EXISTING,3,num__valid_cross_symbols_5s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_count_5s,3
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_5s,0
MODEL_X_PLUS_EXISTING,3,num__usd_consensus_median_5s,39
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_usd_consensus_5s,16
MODEL_X_PLUS_EXISTING,3,num__target_residual_5s,2
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_target_residual_5s,7
MODEL_X_PLUS_EXISTING,3,num__target_usd_return_atr_10s,0
MODEL_X_PLUS_EXISTING,3,num__valid_cross_symbols_10s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_count_10s,0
MODEL_X_PLUS_EXISTING,3,num__usd_breadth_10s,0
MODEL_X_PLUS_EXISTING,3,num__usd_consensus_median_10s,14
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_usd_consensus_10s,11
MODEL_X_PLUS_EXISTING,3,num__target_residual_10s,8
MODEL_X_PLUS_EXISTING,3,num__shock_aligned_target_residual_10s,13
MODEL_X_PLUS_EXISTING,3,num__median_cross_quote_age_ms,33
MODEL_X_PLUS_EXISTING,3,num__max_cross_quote_age_ms,25
MODEL_X_PLUS_EXISTING,3,num__num_prior_cross_fx_movers,10
MODEL_X_PLUS_EXISTING,3,num__first_cross_fx_lead_ms,16
MODEL_X_PLUS_EXISTING,3,num__median_cross_fx_lead_ms,7
MODEL_X_PLUS_EXISTING,3,num__target_leader_rank,0
MODEL_X_PLUS_EXISTING,3,num__t0_mid,10
MODEL_X_PLUS_EXISTING,3,num__return_5s_dir_atr,3
MODEL_X_PLUS_EXISTING,3,num__return_10s_dir_atr,8
MODEL_X_PLUS_EXISTING,3,num__return_30s_dir_atr,33
MODEL_X_PLUS_EXISTING,3,num__return_60s_dir_atr,25
MODEL_X_PLUS_EXISTING,3,num__return_120s_dir_atr,67
MODEL_X_PLUS_EXISTING,3,num__return_300s_dir_atr,35
MODEL_X_PLUS_EXISTING,3,num__return_900s_dir_atr,38
MODEL_X_PLUS_EXISTING,3,num__spread_5s_atr,39
