episode_id,market_cluster_id,symbol,shock_direction,entry_spread,atr14_m5,spread_atr_t0,broker_stop_distance,existing_sl_distance,existing_tp_distance,existing_sl_atr,existing_tp_atr,existing_risk_source,existing_continuation_result,existing_continuation_touch_msc,existing_reversal_result,existing_reversal_touch_msc,status,analysis_ready,high_movement,spread_over_tp_0.20,spread_over_tp_0.30,spread_over_tp_0.40,spread_over_tp_0.50,spread_over_existing_sl
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_21,170,USDJPY,LONG,0.0220000000,0.0918489497,0.250411137753,0.0000000000,0.0880000000,0.1060000000,0.958094787924,1.154068721818,ENTRY_SPREAD,SL_FIRST,1741051797067,TP_FIRST,1741052151649,COMPLETE_3600S,TRUE,NOT_READY,1.1976184851246043,0.798412323416403,0.5988092425623022,0.47904739404984176,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_22,174,USDJPY,SHORT,0.0200000000,0.0937741740,0.159958753693,0.0000000000,0.0800000000,0.0960000000,0.853113353030,1.023736023637,ENTRY_SPREAD,SL_FIRST,1741053372358,SL_FIRST,1741053038896,COMPLETE_3600S,TRUE,NOT_READY,1.066391691170748,0.7109277941138321,0.533195845585374,0.42655667646829926,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_23,188,USDJPY,LONG,0.0220000000,0.1078153702,0.204052538792,0.0000000000,0.0880000000,0.1060000000,0.816210155169,0.983162232363,ENTRY_SPREAD,SL_FIRST,1741054151081,TP_FIRST,1741054314906,COMPLETE_3600S,TRUE,NOT_READY,1.0202626934911734,0.6801751289941156,0.5101313467455867,0.4081050773964694,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_24,194,USDJPY,SHORT,0.0210000000,0.1211328170,0.148597221202,0.0000000000,0.0840000000,0.1010000000,0.693453698943,0.833795518967,ENTRY_SPREAD,SL_FIRST,1741055420108,SL_FIRST,1741055647594,COMPLETE_3600S,TRUE,NOT_READY,0.8668171235545525,0.5778780823697017,0.43340856177727627,0.346726849421821,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_25,199,USDJPY,LONG,0.0200000000,0.1335849748,0.149717436599,0.0000000000,0.0800000000,0.0960000000,0.598869746398,0.718643695678,ENTRY_SPREAD,TP_FIRST,1741056604849,SL_FIRST,1741056535874,COMPLETE_3600S,TRUE,NOT_READY,0.7485871831747352,0.49905812211649025,0.3742935915873676,0.2994348732698941,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_26,205,USDJPY,LONG,0.0170000000,0.1351088485,0.140627355004,0.0000000000,0.0680000000,0.0820000000,0.503297902121,0.606918058440,ENTRY_SPREAD,SL_FIRST,1741057472457,TP_FIRST,1741057504960,COMPLETE_3600S,TRUE,NOT_READY,0.6291223775769209,0.419414918384614,0.31456118878846046,0.2516489510307684,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_27,214,USDJPY,SHORT,0.0210000000,0.1343002696,0.141474027212,0.0000000000,0.0840000000,0.1010000000,0.625464120304,0.752046144651,ENTRY_SPREAD,SL_FIRST,1741058648640,SL_FIRST,1741058862753,COMPLETE_3600S,TRUE,NOT_READY,0.7818301505479629,0.5212201003653086,0.39091507527398145,0.3127320602191852,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_28,223,USDJPY,LONG,0.0190000000,0.1376774093,0.152530470417,0.0000000000,0.0760000000,0.0920000000,0.552015035795,0.668228727542,ENTRY_SPREAD,TP_FIRST,1741060595302,SL_FIRST,1741060147052,COMPLETE_3600S,TRUE,NOT_READY,0.6900187945358149,0.46001252969054335,0.34500939726790747,0.276007517814326,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_29,225,USDJPY,SHORT,0.0210000000,0.1215949800,0.164480474432,0.0000000000,0.0840000000,0.1010000000,0.690817992614,0.830626395881,ENTRY_SPREAD,SL_FIRST,1741064034931,SL_FIRST,1741063551246,COMPLETE_3600S,TRUE,NOT_READY,0.8635224908133543,0.5756816605422362,0.43176124540667715,0.3454089963253417,0.25
ts15j_post_shock_excursion_r2_202503_USDJPY_mh_30,230,USDJPY,LONG,0.0170000000,0.1154812970,0.147209985040,0.0000000000,0.0680000000,0.0820000000,0.588839940160,0.710071692546,ENTRY_SPREAD,SL_FIRST,1741064366372,TP_FIRST,1741064466460,COMPLETE_3600S,TRUE,NOT_READY,0.736049925036779,0.4906999500245193,0.3680249625183895,0.2944199700147116,0.25
