population,side,horizon_seconds,n,mfe_mean,mfe_std,mae_mean,mae_std,mfe_increment_median,fraction_60m_mfe_median,mfe_p10,mae_p10,mfe_p25,mae_p25,mfe_p50,mae_p50,mfe_p75,mae_p75,mfe_p90,mae_p90,mfe_p95,mae_p95
ALL,REV,120,2732,0.13023207573699583,0.39979732431116444,0.9216155767885122,0.7640660170844935,0.0,0.0,0.0,0.32195772904790876,0.0,0.49469771336903534,0.0,0.7670407530701794,0.13721534388620632,1.117108230795262,0.4034880460969345,1.5639833278945101,0.5967490852924469,2.022635883476916
ALL,REV,300,2732,0.27786281241052846,0.5427645648484128,1.1324946496409682,0.8918054034691089,0.03579315550342342,0.1021152986742142,0.0,0.3761613787908712,0.0,0.6012892196451827,0.03579315550342342,0.9331033294578142,0.3966270757661086,1.4004843697949516,0.8103596374853064,2.019017773186067,1.1398843946243868,2.492753631570734
ALL,REV,600,2732,0.48018588622201364,0.757154438027945,1.3856222801885345,1.0746496801422183,0.16892051782854628,0.29218188353702373,0.0,0.452499743345971,0.0,0.7227196716672744,0.20471367333196971,1.1339768709717912,0.70874669903802,1.7379644149270899,1.2566236656297556,2.4892113278264465,1.7182357994008475,3.20410369395283
ALL,REV,900,2732,0.633071451935303,0.9108398323311668,1.571385392600621,1.2199686489340809,0.13266315323924455,0.46042188805346695,0.0,0.4814666020000721,0.0,0.7928758483114615,0.33737682657121426,1.3008676464557833,0.9591716476818106,1.9712333165436975,1.5895369632856735,2.858720991657163,2.184262306341797,3.705055282848651
ALL,REV,1800,2732,1.0064171527689862,1.2281758886614311,1.9563314255798134,1.4909596136022707,0.2969650977814291,0.9179104477611939,0.0,0.5710712706207017,0.04406342937677834,0.9652441522959736,0.6343419243526434,1.6086208016179155,1.4949192037761931,2.5166597314622865,2.514762112576436,3.6730663426159764,3.2241348715144613,4.612749973588429
ALL,REV,3600,2732,1.5695508869590178,1.740710818904022,2.5243124185757035,1.9757136909751127,0.46779744316377014,1.0,0.0,0.6978818791122728,0.2785543027848255,1.2044042399793322,1.1021393675164135,2.0603047318529155,2.303322487947058,3.253768808836726,3.695515191705946,4.852265669353572,4.830137558901191,6.13211860380445
HIGH_MOVEMENT,CONT,30,185,0.045269928398509504,0.10490749488219153,0.41657071861371603,0.25190159710712673,nan,0.0,0.0,0.17398390098059904,0.0,0.25938437947180143,0.0,0.3741012801278179,0.02104216808399697,0.5111470212177129,0.16113317174791048,0.6958793990652338,0.26354276142891686,0.7737847458995983
HIGH_MOVEMENT,CONT,60,185,0.1061879802776017,0.22823465349001124,0.493314418014937,0.2826374804818787,0.0,0.0,0.0,0.20185692895314694,0.0,0.3073328439548218,0.0,0.4562622757787763,0.1323238351783054,0.635172077717292,0.3374550819970396,0.8082161534124879,0.5453219806822966,0.8850585229346756
HIGH_MOVEMENT,CONT,120,185,0.18093628818142077,0.289599898285073,0.5676554080562312,0.3275149381173391,0.033471481685912276,0.07092555331991952,0.0,0.20812097671601873,0.0,0.3397964220777738,0.033471481685912276,0.5138089834362665,0.24606829029142815,0.7594184315234591,0.5023116139384336,0.9159836209717742,0.7277615982002843,1.050525800428361
HIGH_MOVEMENT,CONT,300,185,0.3322359489761537,0.43896377563084393,0.7387697323559191,0.4413761401493729,0.13453477624655294,0.18010341990833234,0.0,0.2871698059698471,0.0,0.4106043282106388,0.1680062579324652,0.7186815316441674,0.4877431340042141,0.9655532569057337,0.9285946993337065,1.2188997002049726,1.2832065953371576,1.4061688801612628
HIGH_MOVEMENT,CONT,600,185,0.49852139952741137,0.5504158930049792,0.9833419045413682,0.6838534351634367,0.1653266713609538,0.3872539172358377,0.0,0.30662000752786556,0.0,0.4953824697173765,0.333332929293419,0.898174178142792,0.7689393873284819,1.251691870177857,1.2624826590944291,1.743788520033877,1.5526852288595976,2.276719065094596
HIGH_MOVEMENT,CONT,900,185,0.6188117204863028,0.6289511227002806,1.1522881322046306,0.8166891460532623,0.15441020471079508,0.4766795036371417,0.0,0.30662000752786556,0.0,0.5964919427159224,0.4877431340042141,1.0074737502714366,1.0470842609761557,1.4551638992026157,1.5259224241902773,2.1861480235187316,1.8089503920224808,2.499673058490018
HIGH_MOVEMENT,CONT,1800,185,0.8992525896406014,0.8596059118631337,1.4946906251423666,1.0430597717630368,0.23093839763995327,0.8664977670903469,0.0,0.382241607980949,0.10679258321338392,0.7879595861475647,0.7186815316441674,1.251691870177857,1.3686810940354628,2.110617758118702,2.0729858909492123,2.922466421560572,2.589817432596021,3.359683329744211
HIGH_MOVEMENT,CONT,3600,185,1.3097457005108335,1.0917413953050825,1.8847468947904347,1.2283206197377652,0.43702160736793216,1.0,0.0,0.4677438443302376,0.4984337098269982,1.0237787890636716,1.1557031390120995,1.536650701066752,1.9582600828810572,2.6545522288766996,2.661297325624624,3.5162797033312256,3.486106088797813,4.143724883671798
HIGH_MOVEMENT,REV,30,185,0.05321485662303262,0.18457980370134872,0.41772808453781013,0.23350435407791031,nan,0.0,0.0,0.15935112259120168,0.0,0.22085833712362282,0.0,0.4020149366994375,0.0201518775674613,0.5614642834687031,0.140007923426998,0.6913658554612696,0.23275363568126095,0.8476513869630776
HIGH_MOVEMENT,REV,60,185,0.09676008557599373,0.2190636641481954,0.511638209547615,0.33325928337372657,0.0,0.0,0.0,0.17695846524021727,0.0,0.2783356712033286,0.0,0.4414281657876177,0.11782514520028595,0.6571394038810846,0.3293344433297696,0.8992396424797359,0.43715739608670307,0.9720889520043376
HIGH_MOVEMENT,REV,120,185,0.14655969146552444,0.2557802970157678,0.6122475654184578,0.391831440271981,0.025536577003247532,0.03801652892561983,0.0,0.20992146077978271,0.0,0.32798183973846184,0.025536577003247532,0.542349157077403,0.20199511545107582,0.7762494918879088,0.4538641114536724,1.0595044301903227,0.549537429887237,1.3829701422951866
HIGH_MOVEMENT,REV,300,185,0.28526767570247336,0.3936466890825051,0.7917416176680764,0.5016157545626695,0.09228856819703841,0.16228070175438597,0.0,0.27305906334418756,0.0,0.41637252467513053,0.11782514520028595,0.6912588195319964,0.4303811069223981,1.0718214595676732,0.7721423396624624,1.401654070739169,0.9808108094430326,1.7399379998906424
HIGH_MOVEMENT,REV,600,185,0.5060971220538659,0.6535633901696948,0.967116439034057,0.6127678725902052,0.1608274940157383,0.3706293706293707,0.0,0.30024345786085227,0.026869170089948397,0.44862324748940163,0.27865263921602423,0.9115945420448233,0.7620524500888033,1.3299454786572877,1.2037984889487758,1.76931639276434,1.6634937476459282,2.11616112941544
HIGH_MOVEMENT,REV,900,185,0.6649922381021185,0.7909254423007309,1.0931037786372142,0.7066160079143593,0.15163405812111963,0.5838509316770186,0.0,0.3075944432440135,0.06724836163236858,0.48864685942873126,0.43028669733714386,0.9547820049083445,0.9838627138302284,1.4363812385628143,1.5611679295343992,2.122863715453628,2.105188615113772,2.5335603475501176
HIGH_MOVEMENT,REV,1800,185,1.0000299765471372,1.0316744245851592,1.3878297309813175,0.9136909558681634,0.3236643843634489,1.0,0.0,0.33960246924965976,0.14597073658293389,0.6454300460057159,0.7539510817005928,1.262423165947369,1.5477863559537148,1.9192127186363066,2.378428084723337,2.610229915171675,3.0508634388175824,3.094155276801396
HIGH_MOVEMENT,REV,3600,185,1.383492581093647,1.2279389550355166,1.8105056817693532,1.1307372192283005,0.27567166342294835,1.0,0.024150194676996417,0.5019787691497375,0.40169267111721546,0.952728293454213,1.0296227451235411,1.5290838993499818,2.066808771549995,2.5053288300106424,3.2064703112020556,3.3788020495812114,3.7722067654824207,3.80163276607388
FILTER_OUT,CONT,30,1618,0.04699466533044261,0.23425908484392674,0.7821866309691697,0.726103906838347,nan,0.0,0.0,0.28799502422537343,0.0,0.40638403673617346,0.0,0.6388518523318614,0.0,0.9466263845406079,0.07183977232806274,1.3047877038032445,0.2359056904715506,1.6194735980737909
FILTER_OUT,CONT,60,1618,0.08033243797618025,0.3095748306605517,0.8599882029639602,0.7534337513988781,0.0,0.0,0.0,0.3153481396179565,0.0,0.4664490452429318,0.0,0.7197972670148827,0.0,1.0424658652575456,0.1993598117681074,1.4219012420907262,0.45935522437049653,1.7612343649289162
FILTER_OUT,CONT,120,1618,0.1359912920308653,0.4070578538983587,0.9677493784929743,0.7965148812467225,0.0,0.0,0.0,0.34914714641180494,0.0,0.5314563092967767,0.0,0.8169310960191808,0.10336949651137331,1.1743600043055844,0.39677376590559094,1.6339165616301787,0.6632748212130457,1.9913098226959216
FILTER_OUT,CONT,300,1618,0.28197335786242117,0.5876395467060747,1.1857641310093523,0.8971933479537529,0.0,0.0625,0.0,0.42500723821282893,0.0,0.6658230181706951,0.0,1.0096836899647132,0.35239173281876573,1.4785053448095866,0.8597729729106598,1.9971627745950524,1.3005040697057149,2.4137390554007174
FILTER_OUT,CONT,600,1618,0.49665232927727626,0.8083365311601397,1.4217298379029537,1.0379572422778476,0.16788512345648526,0.2635194726825419,0.0,0.48705946682111945,0.0,0.7728744098433662,0.16788512345648526,1.2047441360616642,0.7236871944388781,1.7839487048705394,1.3945135847654695,2.4609290879659236,1.901772069731436,2.955197943394427
FILTER_OUT,CONT,900,1618,0.6744485053711196,1.0151659922481866,1.590675962748261,1.1648666222715578,0.15998106230350617,0.4769012082444918,0.0,0.526809784495688,0.0,0.8421052218043208,0.32786618575999144,1.3360196967671238,0.9795964284678971,2.001538128088326,1.8332004455805135,2.8289238060925492,2.421502718470749,3.4254912603824197
FILTER_OUT,CONT,1800,1618,1.0515118121730607,1.3379944682431373,2.0033547085300607,1.4326917932108802,0.3231458635484908,0.893796992481203,0.0,0.6325931919863322,0.0,1.0020818454909275,0.6510120493084822,1.7017775992128024,1.510734162445,2.626632635111271,2.6173660207388014,3.625587075844306,3.325385245837449,4.5244724866691675
FILTER_OUT,CONT,3600,1618,1.6105087631451434,1.9369235392124997,2.6545379988349103,2.032268624665428,0.4296198774420207,1.0,0.0,0.7563476729475852,0.1974420913796498,1.2432576229565089,1.080631926750503,2.142783980150779,2.3321650360911645,3.4908851228396163,3.8726123289515417,5.091829045114292,5.058320012339978,6.566427103962436
FILTER_OUT,REV,30,1618,0.04939101271442448,0.39987464824897556,0.7681065574337486,0.6503101276796677,nan,0.0,0.0,0.27833943963431645,0.0,0.38434034737040884,0.0,0.6340865519407861,0.0,0.9442488646522691,0.0730475956961781,1.3034450636211767,0.20419355041805715,1.6424115096423944
FILTER_OUT,REV,60,1618,0.07792151072752802,0.4233337619140075,0.850170114361417,0.7045014184247924,0.0,0.0,0.0,0.3054691291520498,0.0,0.44704763693637983,0.0,0.7058023864172231,0.0,1.0309007756359532,0.21172783092528225,1.44778438362137,0.36412667476309407,1.8214231450702822
FILTER_OUT,REV,120,1618,0.13341835277557318,0.4647981660738338,0.9646392808910064,0.7856253239036168,0.0,0.0,0.0,0.34440537590174847,0.0,0.5279736204455759,0.0,0.8100813295656185,0.122080834229822,1.1568581725387275,0.4003688859180259,1.599426197046395,0.5997108009880251,2.086911314890686
FILTER_OUT,REV,300,1618,0.28036711888809934,0.5940380719140835,1.1806686831096866,0.9209672650476317,0.027653198210083323,0.09259259259259259,0.0,0.39714348237319413,0.0,0.6387271429561299,0.027653198210083323,0.9701615558383176,0.3850711326383458,1.4557463063144611,0.8079188649155692,2.0539722318986424,1.1653299717689176,2.6301522619203475
FILTER_OUT,REV,600,1618,0.47545720514473067,0.7881258932170226,1.4429830924006144,1.095763299712691,0.16145760911628745,0.2817955112219452,0.0,0.48876185664745886,0.0,0.7549147243846251,0.18911080732637078,1.18237112302671,0.6913587671472098,1.805845887434696,1.2408061903262497,2.5919148572316186,1.6570602248089614,3.3411671358861827
FILTER_OUT,REV,900,1618,0.6256557295912242,0.9362277357210468,1.6439759610392666,1.2655596042261128,0.12522312226923007,0.4411764705882352,0.0,0.531075051501545,0.0,0.8319601999838497,0.31433392959560086,1.3603164676900694,0.936748740418232,2.0515062149873122,1.5846165128038754,2.973147213831494,2.149698980298032,3.8865334530198274
FILTER_OUT,REV,1800,1618,0.99273721373541,1.2323309775285838,2.0493355124691464,1.529478332115709,0.29900661664858613,0.8780487804878049,0.0,0.629551401703149,0.0,1.0123461961250226,0.613340546244187,1.6832501735685848,1.4961328050847122,2.64588956798666,2.511150741847228,3.8463000587003116,3.219819677184035,4.844678123961597
FILTER_OUT,REV,3600,1618,1.6080807825285879,1.8218112349338378,2.6368124661019126,2.100876030255366,0.4850363917599736,1.0,0.0,0.7304159748856471,0.24096763344545669,1.2385833843690779,1.0983769380041606,2.105991283536616,2.3832994840920865,3.444064995239371,3.8372060925664755,5.088225091242851,4.960065389123886,6.393276154799007
