family,side,trend,hours,hold,dist,rsi,train_pf,train_tpd,train_exp,test_pf,test_tpd,test_exp,test_trades
session-mean-reversion,long,none,asia,6,1.0,40.0,0.009179236147411488,14.164386843303069,-0.34438236726741356,0.008298265867252616,12.942790467435119,-0.3771384736428009,1271
session-mean-reversion,long,none,asia,6,1.0,45.0,0.009344796011801786,15.654648683611622,-0.3433107095636844,0.008221494123952336,14.733462966236521,-0.37215134761575674,1447
session-mean-reversion,long,none,asia,6,1.2,25.0,0.01751034868934067,4.429577464788732,-0.2984753577106517,0.009103763958133112,3.945345132743363,-0.35128423772609785,387
session-mean-reversion,long,none,asia,6,1.2,30.0,0.012099365017118934,7.198102130310801,-0.31399232981783315,0.007882841119339078,6.830442477876106,-0.35935223880596956,670
session-mean-reversion,long,none,asia,6,1.2,35.0,0.01197057068999806,10.013130780658456,-0.32531771192281195,0.008596690092949524,9.257470207574524,-0.3608151815181514,909
session-mean-reversion,long,none,asia,6,1.2,40.0,0.010433166732874621,12.172221290461701,-0.33750680272108863,0.008768817848850492,11.202263083451202,-0.3683063636363635,1100
session-mean-reversion,long,none,asia,6,1.2,45.0,0.010458031233635376,13.207274121283275,-0.3386358411703241,0.008781595603155253,12.30081674504119,-0.366375,1208
session-mean-reversion,long,none,asia,6,1.5,25.0,0.0192441414723731,4.02112676056338,-0.28900350262697005,0.009805768838224685,3.6700884955752215,-0.3503472222222217,360
session-mean-reversion,long,none,asia,6,1.5,30.0,0.014027382444396514,6.114591071385781,-0.3045598194130925,0.008356157130411277,5.821168141592921,-0.36079684763572606,571
session-mean-reversion,long,none,asia,6,1.5,35.0,0.013843413397147323,8.011884794172616,-0.31519552110249777,0.009244508185511301,7.393755083277343,-0.36919834710743743,726
session-mean-reversion,long,none,asia,6,1.5,40.0,0.012539926653259151,9.129822207312982,-0.32807558578987156,0.009816084788029991,8.585007072135785,-0.3768102016607352,843
session-mean-reversion,long,none,asia,6,1.5,45.0,0.012591866627832989,9.640484976278334,-0.33246957766642815,0.00962778807139344,9.113601810274723,-0.3774435754189944,895
session-mean-reversion,long,none,asia,8,0.6,25.0,0.014904527641123683,4.823943661971831,-0.34494160583941585,0.014268922903164418,4.240991150442478,-0.36085576923076945,416
session-mean-reversion,long,none,asia,8,0.6,30.0,0.011807265828452661,8.41273873139872,-0.343974569319114,0.012076994391301903,7.666407079646018,-0.3698497340425525,752
session-mean-reversion,long,none,asia,8,0.6,35.0,0.012212972212972243,13.056404849762783,-0.3527605708245241,0.01293322727146589,11.975814150843322,-0.36297534013605404,1176
session-mean-reversion,long,none,asia,8,0.6,40.0,0.010474729631700992,17.275998370984357,-0.3568198881789137,0.011139367930276258,16.272682271409376,-0.37375219023779715,1598
session-mean-reversion,long,none,asia,8,0.6,45.0,0.010986652642935232,20.23895606368969,-0.34857649063032364,0.011202637760368917,19.71249779034824,-0.3646389462809916,1936
session-mean-reversion,long,none,asia,8,0.8,25.0,0.01545638489208601,4.76056338028169,-0.3368653846153845,0.014577728879735454,4.190017699115044,-0.3573965936739662,411
session-mean-reversion,long,none,asia,8,0.8,30.0,0.012491335849884287,8.115980925451105,-0.33679251700680274,0.012451886277655273,7.493097345132744,-0.3668721088435369,735
session-mean-reversion,long,none,asia,8,0.8,35.0,0.013063095023091418,12.22140221402214,-0.34559175607001685,0.013015676516789892,11.181499946960857,-0.3645109289617483,1098
session-mean-reversion,long,none,asia,8,0.8,40.0,0.01129810998251432,15.785736530675802,-0.35191564685314686,0.01169987825975522,14.643377413195672,-0.37542002781641154,1438
session-mean-reversion,long,none,asia,8,0.8,45.0,0.01168245489999809,18.000431210023237,-0.3466623227290149,0.011935868024723115,17.136432738200458,-0.3682602495543671,1683
session-mean-reversion,long,none,asia,8,1.0,25.0,0.01684493238467664,4.619718309859155,-0.31807164634146357,0.014903875830755664,4.118654867256637,-0.3555148514851486,404
session-mean-reversion,long,none,asia,8,1.0,30.0,0.013536273470151256,7.743308331935492,-0.3241729055258469,0.012385769188702234,7.238230088495576,-0.3688154929577459,710
session-mean-reversion,long,none,asia,8,1.0,35.0,0.01435265122606456,11.289787703071836,-0.33392298288508576,0.013186126945494248,10.295534104168876,-0.3657477744807118,1011
session-mean-reversion,long,none,asia,8,1.0,40.0,0.011709549714081993,14.164386843303069,-0.3458236726741356,0.012445899766316059,12.942790467435119,-0.3753878835562547,1271
session-mean-reversion,long,none,asia,8,1.0,45.0,0.012267451406342724,15.654648683611622,-0.34467033935654484,0.012535555813640725,14.733462966236521,-0.37018451969592236,1447
session-mean-reversion,long,none,asia,8,1.2,25.0,0.01813012295081924,4.429577464788732,-0.3047074721780606,0.015991934118824613,3.945345132743363,-0.3454987080103359,387
session-mean-reversion,long,none,asia,8,1.2,30.0,0.014763193020927295,7.198102130310801,-0.3170441035474597,0.013483219878306456,6.830442477876106,-0.3586238805970143,670
session-mean-reversion,long,none,asia,8,1.2,35.0,0.01556448454430713,10.013130780658456,-0.3274031702274297,0.014340474324802802,9.257470207574524,-0.3584081408140808,909
session-mean-reversion,long,none,asia,8,1.2,40.0,0.012959052296147362,12.172221290461701,-0.3394229024943315,0.013739930786017172,11.202263083451202,-0.36608090909090873,1100
session-mean-reversion,long,none,asia,8,1.2,45.0,0.01349208872979009,13.207274121283275,-0.34037460815047055,0.013643546380661186,12.30081674504119,-0.3642864238410592,1208
session-mean-reversion,long,none,asia,8,1.5,25.0,0.020230894176412932,4.02112676056338,-0.2947320490367775,0.01724096892182461,3.6700884955752215,-0.3440666666666666,360
session-mean-reversion,long,none,asia,8,1.5,30.0,0.01740094789469074,6.114591071385781,-0.30700564334085806,0.013062143847220474,5.821168141592921,-0.35912784588441266,571
session-mean-reversion,long,none,asia,8,1.5,35.0,0.01815517186148545,8.011884794172616,-0.31679844961240333,0.014188424353764481,7.393755083277343,-0.36587052341597714,726
session-mean-reversion,long,none,asia,8,1.5,40.0,0.01584407447391103,9.129822207312982,-0.3300597127739989,0.013761051844762954,8.585007072135785,-0.374072360616844,843
session-mean-reversion,long,none,asia,8,1.5,45.0,0.016707716099453783,9.640484976278334,-0.33407372942018654,0.014174065513200631,9.113601810274723,-0.37503351955307207,895
session-mean-reversion,long,none,asia,12,0.6,25.0,0.01566142309886699,4.823943661971831,-0.35260875912408723,0.020703893168172918,4.240991150442478,-0.360322115384615,416
session-mean-reversion,long,none,asia,12,0.6,30.0,0.015591199038550371,8.41273873139872,-0.3494126333059885,0.018575487201058102,7.666407079646018,-0.36611702127659507,752
session-mean-reversion,long,none,asia,12,0.6,35.0,0.01796403665410077,13.056404849762783,-0.3531670190274842,0.019173989741868614,11.975814150843322,-0.3579039115646254,1176
session-mean-reversion,long,none,asia,12,0.6,40.0,0.016346632811845643,17.275998370984357,-0.35645806709265193,0.017875977904970947,16.272682271409376,-0.36884042553191493,1598
session-mean-reversion,long,none,asia,12,0.6,45.0,0.01842879407566091,20.23895606368969,-0.34719795570698475,0.01831518391473599,19.71249779034824,-0.3589173553719007,1936
session-mean-reversion,long,none,asia,12,0.8,25.0,0.016229639045732627,4.76056338028169,-0.3445946745562126,0.02113526167308073,4.190017699115044,-0.3571046228710458,411
session-mean-reversion,long,none,asia,12,0.8,30.0,0.016471174224296996,8.115980925451105,-0.34253231292517006,0.019130447551882875,7.493097345132744,-0.36351292517006734,735
session-mean-reversion,long,none,asia,12,0.8,35.0,0.01903819943212952,12.22140221402214,-0.3466583850931677,0.019876344861546807,11.181499946960857,-0.35891985428050954,1098
