period_id,variant,post_anchor_pullback_bucket,post_anchor_pullback_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,symbol_distribution,direction_distribution,session_distribution
full2025_validation,one_light_or_micro_n_first,post_anchor_pullback_reject,none,27,12,0.4444444444444444,97.25000000000001,303.1600000000001,-205.90999999999997,1.4722937205575257,3.9607,0.1466925925925926,1.4663762143067411,80.75999999999999,0.8076,1.20418524021793,3,0.1111111111111111,8,0.2962962962962963,16,0.5925925925925926,0.7645925925925927,0.5243444444444444,0.6296296296296297,0.4444444444444444,0.4074074074074074,0.2222222222222222,0.0,USDJPY:13|EURUSD:6|EURJPY:4|GBPJPY:4,SHORT:18|LONG:9,london_newyork_overlap:10|new_york:9|london:5|tokyo:3
q1_quick,anchor_pullback,post_anchor_pullback_pass,clean_retest_reconfirm,5,0,0.0,-38.8,0,-38.8,0.0,-1.6435000000000002,-0.32870000000000005,0.0,38.8,0.38799999999999996,-1.0,0,0.0,0,0.0,5,1.0,0.5439200000000001,0.45422,0.6,0.2,0.0,0.0,0.0,USDJPY:3|EURUSD:1|GBPJPY:1,SHORT:3|LONG:2,london_newyork_overlap:3|london:1|tokyo:1
q1_quick,anchor_pullback,post_anchor_pullback_pass,retest_only,4,1,0.25,-20.660000000000004,12.87,-33.53,0.38383537130927525,-0.8755000000000001,-0.21887500000000001,0.37664649341402634,33.53,0.3353,-0.6161646286907249,0,0.0,0,0.0,4,1.0,0.57,0.391675,0.25,0.25,0.25,0.0,0.0,USDJPY:3|AUDJPY:1,SHORT:3|LONG:1,tokyo:2|london:1|london_newyork_overlap:1
q1_quick,anchor_pullback,post_anchor_pullback_pass,retest_reconfirm,12,3,0.25,-39.94,64.34,-104.28,0.6169927119294208,-1.7628,-0.1469,0.5974791067269489,57.760000000000005,0.5776000000000001,-0.6914819944598337,0,0.0,2,0.16666666666666666,10,0.8333333333333334,0.42202500000000004,0.5357083333333333,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,USDJPY:8|EURJPY:2|EURUSD:1|GBPJPY:1,SHORT:9|LONG:3,london:6|tokyo:4|london_newyork_overlap:2
q1_quick,base,post_anchor_pullback_pass,none,107,26,0.24299065420560748,-561.8999999999997,472.05000000000007,-1033.95,0.45655012331350653,-23.722599999999996,-0.22170654205607473,0.46328594990463745,575.7799999999997,5.757799999999998,-0.9758935704609399,16,0.14953271028037382,13,0.12149532710280374,78,0.7289719626168224,0.5673598130841122,0.574571028037383,0.48598130841121495,0.2897196261682243,0.205607476635514,0.11214953271028037,0.0,USDJPY:61|GBPJPY:14|EURJPY:11|EURUSD:11|GBPUSD:6|AUDJPY:4,SHORT:65|LONG:42,london_newyork_overlap:38|new_york:27|london:21|tokyo:21
q1_quick,light,post_anchor_pullback_pass,none,18,6,0.3333333333333333,24.57000000000001,173.97,-149.4,1.1644578313253011,0.8499000000000001,0.04721666666666667,1.138598522528987,66.08,0.6608,0.37182203389830526,2,0.1111111111111111,5,0.2777777777777778,11,0.6111111111111112,0.7552,0.5432,0.6111111111111112,0.5,0.3333333333333333,0.2222222222222222,0.0,USDJPY:11|GBPJPY:4|EURJPY:2|EURUSD:1,SHORT:12|LONG:6,london:6|new_york:6|london_newyork_overlap:5|tokyo:1
q1_quick,light_or_micro_n,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
q1_quick,light_or_micro_n,post_anchor_pullback_pass,retest_only,2,0,0.0,-9.5,0,-9.5,0.0,-0.39949999999999997,-0.19974999999999998,0.0,9.5,0.095,-1.0,0,0.0,0,0.0,2,1.0,0.8386499999999999,0.36324999999999996,0.5,0.5,0.5,0.0,0.0,USDJPY:2,SHORT:2,london:1|london_newyork_overlap:1
q1_quick,light_or_micro_n,post_anchor_pullback_pass,retest_reconfirm,2,1,0.5,25.429999999999996,33.16,-7.73,4.289780077619663,0.9861,0.49305,4.136450381679389,7.73,0.07730000000000001,3.289780077619663,0,0.0,1,0.5,1,0.5,0.7281,0.20415,0.5,0.5,0.5,0.5,0.0,EURJPY:1|USDJPY:1,SHORT:2,london:2
q1_quick,light_or_micro_n,post_anchor_pullback_reject,failed_close_back_inside,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0,USDJPY:1,SHORT:1,london_newyork_overlap:1
q1_quick,light_or_micro_n,post_anchor_pullback_reject,none,12,3,0.25,-55.83,76.34,-132.17000000000002,0.5775894681092532,-2.3426,-0.19521666666666668,0.5676423904617771,102.91,1.0291,-0.5425128753279564,2,0.16666666666666666,2,0.16666666666666666,8,0.6666666666666666,0.6545166666666667,0.6055750000000001,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,USDJPY:7|GBPJPY:4|EURJPY:1,SHORT:7|LONG:5,new_york:6|london:3|london_newyork_overlap:2|tokyo:1
q1_quick,light_or_micro_n_exhaustion,post_anchor_pullback_pass,clean_retest_reconfirm,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0,EURUSD:1,LONG:1,london_newyork_overlap:1
q1_quick,light_or_micro_n_exhaustion,post_anchor_pullback_pass,retest_only,2,0,0.0,-9.5,0,-9.5,0.0,-0.39949999999999997,-0.19974999999999998,0.0,9.5,0.095,-1.0,0,0.0,0,0.0,2,1.0,0.8386499999999999,0.36324999999999996,0.5,0.5,0.5,0.0,0.0,USDJPY:2,SHORT:2,london:1|london_newyork_overlap:1
q1_quick,light_or_micro_n_exhaustion,post_anchor_pullback_pass,retest_reconfirm,2,1,0.5,25.429999999999996,33.16,-7.73,4.289780077619663,0.9861,0.49305,4.136450381679389,7.73,0.07730000000000001,3.289780077619663,0,0.0,1,0.5,1,0.5,0.7281,0.20415,0.5,0.5,0.5,0.5,0.0,EURJPY:1|USDJPY:1,SHORT:2,london:2
