cohort,horizon_seconds,fold,episodes,market_clusters,mean_exec_spread_multiple,prob_positive
ALL,900,3,187,181,-0.6076006370254611,0.39037433155080214
ALL,900,4,173,163,-0.47135248674482244,0.3930635838150289
SR-CLEAN-001,5,0,99,94,-0.7711268813427534,0.08080808080808081
SR-CLEAN-001,5,1,94,88,-1.0671862363927247,0.0425531914893617
SR-CLEAN-001,5,2,65,62,-0.9518359509300991,0.046153846153846156
SR-CLEAN-001,5,3,79,79,-0.8578931218418027,0.02531645569620253
SR-CLEAN-001,5,4,81,79,-0.8877665233570162,0.037037037037037035
SR-CLEAN-001,10,0,94,90,-0.7449513775147927,0.1276595744680851
SR-CLEAN-001,10,1,96,90,-0.8378858811224851,0.08333333333333333
SR-CLEAN-001,10,2,66,63,-0.8539892798304914,0.07575757575757576
SR-CLEAN-001,10,3,66,66,-0.6821806967302939,0.07575757575757576
SR-CLEAN-001,10,4,62,60,-0.7224081454450988,0.11290322580645161
SR-CLEAN-001,30,0,93,89,-0.5994348837245279,0.11827956989247312
SR-CLEAN-001,30,1,95,89,-0.8818584806125956,0.10526315789473684
SR-CLEAN-001,30,2,72,69,-0.9234594329854446,0.125
SR-CLEAN-001,30,3,60,60,-0.7154685156848781,0.13333333333333333
SR-CLEAN-001,30,4,67,64,-0.7668979480163939,0.11940298507462686
SR-CLEAN-001,60,0,86,82,-0.5079548758820879,0.32558139534883723
SR-CLEAN-001,60,1,90,90,-0.5883874543444507,0.2111111111111111
SR-CLEAN-001,60,2,66,64,-0.9474822382184102,0.13636363636363635
SR-CLEAN-001,60,3,56,56,-0.9569946840021141,0.08928571428571429
SR-CLEAN-001,60,4,76,74,-0.6848965238561999,0.19736842105263158
SR-CLEAN-001,120,0,103,97,-0.13104343233358545,0.34951456310679613
SR-CLEAN-001,120,1,80,76,-0.7366352245607277,0.2375
SR-CLEAN-001,120,2,58,56,-0.9078749630957622,0.1896551724137931
SR-CLEAN-001,120,3,64,64,-0.721772004501618,0.25
SR-CLEAN-001,120,4,60,59,-0.8364977135144316,0.21666666666666667
SR-CLEAN-001,180,0,90,84,-0.42368158891863733,0.3888888888888889
SR-CLEAN-001,180,1,89,87,-1.1746530105924498,0.2696629213483146
SR-CLEAN-001,180,2,55,52,-0.6539711260170922,0.2545454545454545
SR-CLEAN-001,180,3,67,67,-0.8218542092987936,0.19402985074626866
SR-CLEAN-001,180,4,69,68,-0.9132982177127067,0.2898550724637681
SR-CLEAN-001,300,0,91,87,-0.24491316409624364,0.37362637362637363
SR-CLEAN-001,300,1,96,94,-1.0088477766313777,0.3125
SR-CLEAN-001,300,2,56,55,-0.5153083468145844,0.32142857142857145
SR-CLEAN-001,300,3,64,64,-0.7474597949035123,0.328125
SR-CLEAN-001,300,4,61,61,-1.0687366414980994,0.32786885245901637
SR-CLEAN-001,600,0,95,90,-0.17576033495430698,0.5052631578947369
SR-CLEAN-001,600,1,80,79,-0.8044834468095186,0.275
SR-CLEAN-001,600,2,62,60,-1.1661254592961514,0.3064516129032258
SR-CLEAN-001,600,3,49,49,-0.6333812436642262,0.40816326530612246
SR-CLEAN-001,600,4,67,65,-0.08200786777639936,0.44776119402985076
SR-CLEAN-001,900,0,90,87,0.1781244202475569,0.5444444444444444
SR-CLEAN-001,900,1,83,80,-0.9831238609465247,0.39759036144578314
SR-CLEAN-001,900,2,48,48,-1.522363316320637,0.2708333333333333
SR-CLEAN-001,900,3,65,65,-1.2347455981885975,0.3230769230769231
SR-CLEAN-001,900,4,57,55,-0.49965716186349957,0.43859649122807015
SR-REV-001,5,0,175,171,-1.2059095073489403,0.04
SR-REV-001,5,1,142,131,-1.2788251074669674,0.007042253521126761
SR-REV-001,5,2,134,125,-1.278369865981354,0.014925373134328358
SR-REV-001,5,3,96,89,-1.297854012433846,0.0
SR-REV-001,5,4,100,95,-1.221293450145628,0.02
SR-REV-001,10,0,172,166,-1.291276264689179,0.05232558139534884
SR-REV-001,10,1,141,129,-1.3428723188098517,0.028368794326241134
SR-REV-001,10,2,127,116,-1.3338209350882586,0.007874015748031496
SR-REV-001,10,3,89,81,-1.3414451597799064,0.0
SR-REV-001,10,4,93,89,-1.1930631237190958,0.06451612903225806
SR-REV-001,30,0,166,160,-1.2978649837460428,0.12048192771084337
SR-REV-001,30,1,141,132,-1.317730727268761,0.06382978723404255
SR-REV-001,30,2,128,117,-1.1894935302867653,0.046875
SR-REV-001,30,3,91,85,-1.1898749774664608,0.0989010989010989
SR-REV-001,30,4,84,82,-1.0362122737632666,0.09523809523809523
SR-REV-001,60,0,152,146,-1.4646946617777525,0.1118421052631579
SR-REV-001,60,1,121,111,-1.2160860937661495,0.11570247933884298
SR-REV-001,60,2,119,110,-1.1128257097064052,0.10084033613445378
SR-REV-001,60,3,86,81,-0.9226448157787854,0.13953488372093023
SR-REV-001,60,4,97,93,-1.1106720049111454,0.13402061855670103
SR-REV-001,120,0,156,153,-1.6622662915266164,0.1794871794871795
SR-REV-001,120,1,130,124,-1.0521756626805545,0.18461538461538463
SR-REV-001,120,2,109,101,-1.2822652631397313,0.1743119266055046
SR-REV-001,120,3,99,96,-0.9604956476759411,0.15151515151515152
SR-REV-001,120,4,97,93,-1.1772154192246314,0.1958762886597938
SR-REV-001,180,0,167,162,-1.6474464426300723,0.23952095808383234
SR-REV-001,180,1,136,127,-1.2104526428413067,0.27205882352941174
SR-REV-001,180,2,110,104,-1.3823596294424807,0.18181818181818182
SR-REV-001,180,3,100,92,-0.8331499047918277,0.2
SR-REV-001,180,4,79,76,-1.1146110748526254,0.21518987341772153
SR-REV-001,300,0,151,148,-2.065690359041947,0.25165562913907286
SR-REV-001,300,1,117,109,-1.1771101611095394,0.28205128205128205
SR-REV-001,300,2,112,108,-1.3450264970858101,0.24107142857142858
SR-REV-001,300,3,67,64,-0.6259385017464724,0.34328358208955223
SR-REV-001,300,4,85,85,-1.2377882646066587,0.23529411764705882
SR-REV-001,600,0,163,157,-2.475958222081229,0.26993865030674846
SR-REV-001,600,1,115,110,-0.6225734184719716,0.3739130434782609
SR-REV-001,600,2,107,104,-0.9197371411363139,0.40186915887850466
SR-REV-001,600,3,83,81,-0.54704976320477,0.3132530120481928
SR-REV-001,600,4,82,82,-1.490146251821062,0.32926829268292684
SR-REV-001,900,0,147,143,-2.635536245274683,0.29931972789115646
SR-REV-001,900,1,119,115,-0.6146730737560906,0.35294117647058826
SR-REV-001,900,2,110,105,-1.1376433222719047,0.38181818181818183
SR-REV-001,900,3,76,72,-0.1097373330500496,0.42105263157894735
SR-REV-001,900,4,74,72,-0.6918332798421927,0.35135135135135137
