cohort,entry_clock,direction,exit_horizon_seconds,episodes,gross_mid_mean,spread_only_mean,spread_125x_mean,prob_positive_spread_only,break_even_additional_cost_mean,formal_net_status
ALL,CONFIRMED,SHORT,10,2637,-0.00028660219946909365,-0.007422176715965112,-0.008309087030716724,0.04247250663632916,0.00022536973833902163,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,30,2726,-0.00019558143800440207,-0.007448532648569331,-0.008343403796771828,0.08730741012472487,0.0007711078503301541,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,60,2734,-0.0003537893196781272,-0.007589842721287491,-0.008481054316020482,0.13130943672275056,0.00150853328456474,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,120,2734,-8.051572787125097e-05,-0.007330413313825897,-0.008225085954645208,0.18983174835406,0.002647373811265545,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,180,2734,-4.303584491587409e-05,-0.007260482809070958,-0.00814704279444038,0.23664959765910754,0.0038253986832479884,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,300,2734,7.138990490124377e-05,-0.007129718361375274,-0.008012193672275054,0.2801755669348939,0.005985797366495976,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,600,2734,0.0007195866861741038,-0.006502092172640819,-0.007389710131675201,0.33284564740307243,0.010131806876371618,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHORT,900,2734,0.0009479553767373808,-0.006321031455742502,-0.007220476408193124,0.35003657644476954,0.012291089978054132,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,120,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,180,2727,-3.991199119911989e-05,-0.00712979464613128,-0.008014143747708105,0.11697836450311698,0.001285196186285295,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,300,2729,-0.00015451813851227565,-0.007223136680102601,-0.008102783070721875,0.20190545987541225,0.003932707951630634,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,600,2729,-0.0008039025283986808,-0.007893129351410772,-0.00877792781238549,0.2997434957860022,0.008058809087577867,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,LONG,900,2729,-0.0010326896299010628,-0.00816931110296812,-0.009065958226456578,0.3360205203371198,0.010221040674239647,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,120,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,180,2727,3.991199119911989e-05,-0.007049970663733041,-0.007934319765309865,0.12284561789512284,0.0014164833149981665,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,300,2729,0.00015451813851227565,-0.006914100403078051,-0.007793746793697325,0.21766214730670574,0.0040422169292781245,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,600,2729,0.0008039025283986808,-0.006285324294613412,-0.007170122755588127,0.30157566874312935,0.008810216196408942,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHORT,900,2729,0.0010326896299010628,-0.0061039318431659936,-0.007000578966654453,0.3301575668743129,0.01120906925613778,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,60,2717,0.00015567905778432096,-0.007014357747515642,-0.00790873849834376,0.07839528892160472,0.000802661023187339,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,120,2730,-0.00011776373626373628,-0.00728391575091575,-0.008179576007326009,0.14945054945054945,0.002192835164835165,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,180,2730,-0.0001552985347985348,-0.007288952380952381,-0.008176488095238096,0.1967032967032967,0.0032821501831501836,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,300,2730,-0.00026989194139194153,-0.007387183150183151,-0.008270628205128205,0.24615384615384617,0.0053155274725274725,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,600,2730,-0.0009190384615384614,-0.008056930402930405,-0.008945525641025642,0.31062271062271063,0.009187956043956044,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,LONG,900,2730,-0.0011477417582417579,-0.008333010989010988,-0.00923345054945055,0.3432234432234432,0.011130912087912087,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,60,2717,-0.00015567905778432096,-0.007325715863084285,-0.008220096613912401,0.07029812292970188,0.0008100772911299227,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,120,2730,0.00011776373626373628,-0.007048388278388279,-0.007944048534798534,0.16227106227106228,0.00220596336996337,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,180,2730,0.0001552985347985348,-0.006978355311355311,-0.007865891025641026,0.2153846153846154,0.003365805860805861,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,300,2730,0.00026989194139194153,-0.006847399267399267,-0.007730844322344323,0.26666666666666666,0.005672934065934065,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,600,2730,0.0009190384615384614,-0.00621885347985348,-0.0071074487179487176,0.3311355311355311,0.009965197802197802,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHORT,900,2730,0.0011477417582417579,-0.006037527472527473,-0.006937967032967033,0.34798534798534797,0.012249373626373626,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,120,2729,-0.00024153352876511545,-0.007368460974716014,-0.008260327042872849,0.1150604617075852,0.0013799926713081716,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,180,2729,-0.00027908208134847927,-0.007373499450348112,-0.008257237999267131,0.17112495419567608,0.0026087944301942108,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,300,2729,-0.0003937174789300111,-0.007471766214730671,-0.008351412605349945,0.23928178820080614,0.004699256137779406,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,600,2729,-0.0010431018688164162,-0.008141758886038842,-0.009026557347013558,0.3129351410773177,0.00867238548919018,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,LONG,900,2729,-0.0012718889703187978,-0.008417940637596188,-0.009314587761084644,0.33272260901429096,0.010578559912055696,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,120,2729,0.00024153352876511545,-0.006885393917185782,-0.0077772599853426164,0.11982411139611579,0.001491429094906559,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,180,2729,0.00027908208134847927,-0.006815335287651155,-0.007699073836570173,0.19311102968120192,0.0027440857456943937,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,300,2729,0.0003937174789300111,-0.006684331256870649,-0.007563977647489922,0.2576035177720777,0.005150721876145108,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,600,2729,0.0010431018688164162,-0.0060555551484060095,-0.0069403536093807245,0.32502748259435693,0.009563917185782337,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHORT,900,2729,0.0012718889703187978,-0.005874162696958593,-0.00677080982044705,0.3426163429827776,0.011869574935873949,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,5,2262,5.9874005305039776e-05,-0.007120857648099027,-0.008010686339522547,0.022546419098143235,0.00014993810786914237,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,10,2603,-0.0001678390318862851,-0.007360061467537457,-0.008252549462159047,0.03611217825585863,0.00024917402996542447,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,30,2724,-4.990271659324526e-05,-0.007318252569750367,-0.00821376009544787,0.08259911894273128,0.0008926505139500735,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,60,2734,9.407095830285295e-05,-0.007152183613752744,-0.008043395208485736,0.1276517922457937,0.0016510351133869788,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,120,2734,0.00033186905632772486,-0.006928229700073153,-0.007822902340892465,0.18434528163862474,0.00281954279444038,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,180,2734,0.0003089831748354061,-0.0069186649597659106,-0.007805224945135334,0.22494513533284566,0.003886869056327725,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,300,2734,0.00015935991221653265,-0.007051949524506218,-0.007934424835405999,0.2622531089978054,0.0059873226042428665,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,600,2734,0.0004188149231894656,-0.006813065106071689,-0.007700683065106071,0.3247988295537674,0.009813123628383321,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CAUSAL_STATE_TRANSITION,SHOCK_DIRECTION,900,2734,1.36795903438187e-05,-0.007265508412582298,-0.00816495336503292,0.34308705193855155,0.011587406730065837,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,5,2415,0.00010634575569358177,-0.006931225672877847,-0.007805099378881988,0.02443064182194617,0.00020682401656314702,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,10,2637,-9.159271899886229e-05,-0.00722716723549488,-0.008114077550246492,0.03830109973454683,0.00029116040955631404,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,30,2726,1.3365737344093868e-05,-0.007239585473220837,-0.008134456621423331,0.08253851797505503,0.0009462802641232574,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,60,2734,0.0001571470373079737,-0.0070789063643013905,-0.007970117959034384,0.12948061448427212,0.0016907168983174834,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,120,2734,0.0003949451353328458,-0.006854952450621799,-0.007749625091441111,0.18653986832479882,0.0028481309436722757,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,180,2734,0.00037205925384052667,-0.0068453877103145586,-0.00773194769568398,0.22348207754206292,0.003953163862472567,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,300,2734,0.00022243599122165315,-0.006978672275054864,-0.007861147585954645,0.2640819312362838,0.006068094367227506,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,600,2734,0.00048189100219458677,-0.006739787856620337,-0.007627405815654718,0.32553035844915873,0.009865091441111924,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED,SHOCK_DIRECTION,900,2734,7.67556693489394e-05,-0.007192231163130944,-0.008091676115581564,0.3467446964155084,0.011640775420629116,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,120,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,180,2727,3.6567656765676475e-05,-0.007053314998166482,-0.007937664099743308,0.11404473780711405,0.0014293619361936195,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,300,2729,-0.00011335654085745679,-0.007181975082447782,-0.00806162147306706,0.2026383290582631,0.0039338035910589965,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,600,2729,0.00014657383657017218,-0.00694265298644192,-0.007827451447416636,0.30414071088310735,0.008317519237816049,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_120S,SHOCK_DIRECTION,900,2729,-0.0002593037742762917,-0.00739592524734335,-0.008292572370831808,0.33272260901429096,0.010521923781604983,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,60,2717,0.00020495031284504972,-0.006965086492454914,-0.007859467243283031,0.07397865292602135,0.0008458041958041958,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,120,2730,0.000440529304029304,-0.006725622710622711,-0.007621282967032968,0.15384615384615385,0.0023912087912087913,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,180,2730,0.0004176098901098899,-0.006716043956043956,-0.007603579670329671,0.20036630036630038,0.003517952380952381,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,300,2730,0.00026776739926739917,-0.00684952380952381,-0.007732968864468864,0.2512820512820513,0.005687556776556776,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,600,2730,0.0005276025641025639,-0.006610289377289379,-0.007498884615384616,0.3183150183150183,0.009702659340659342,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_30S,SHOCK_DIRECTION,900,2730,0.00012187362637362632,-0.007063395604395605,-0.007963835164835165,0.34175824175824177,0.011609989010989011,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,5,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,10,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,30,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,60,0,,,,,,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,120,2729,0.00027833089043605716,-0.006848596555514841,-0.007740462623671674,0.11652620007328691,0.0015404983510443385,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,180,2729,0.0002554030780505679,-0.006839014290949065,-0.007722752839868083,0.17515573470135581,0.0028174752656650788,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,300,2729,0.00010550567973616698,-0.006972543056064492,-0.007852189446683769,0.24038109197508245,0.004997442286551851,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
ALL,CONFIRMED_PLUS_60S,SHOCK_DIRECTION,600,2729,0.00036543605716379634,-0.0067332209600586305,-0.0076180194210333455,0.3151337486258703,0.009165657750091608,UNAVAILABLE_COMMISSION_SLIPPAGE_INCOMPLETE
