cohort,horizon_seconds,omitted_symbol,episodes,mean_exec_spread_multiple,sign_positive
SR-CLEAN-001,30,USDCHF,325,-0.7572962313695373,False
SR-CLEAN-001,30,USDJPY,256,-0.8124299238309787,False
SR-CLEAN-001,60,AUDUSD,309,-0.6786757210234889,False
SR-CLEAN-001,60,EURUSD,333,-0.6797174048725209,False
SR-CLEAN-001,60,GBPUSD,374,-0.7080659252846649,False
SR-CLEAN-001,60,USDCAD,303,-0.7235792755002476,False
SR-CLEAN-001,60,USDCHF,322,-0.6756866657598313,False
SR-CLEAN-001,60,USDJPY,229,-0.8139489246978636,False
SR-CLEAN-001,120,AUDUSD,302,-0.6059261328116448,False
SR-CLEAN-001,120,EURUSD,327,-0.6531272139228222,False
SR-CLEAN-001,120,GBPUSD,365,-0.6067624943938115,False
SR-CLEAN-001,120,USDCAD,284,-0.5760716916102955,False
SR-CLEAN-001,120,USDCHF,315,-0.5508421040277405,False
SR-CLEAN-001,120,USDJPY,232,-0.6559971015819956,False
SR-CLEAN-001,180,AUDUSD,311,-0.7795161111941269,False
SR-CLEAN-001,180,EURUSD,333,-0.8238956782850503,False
SR-CLEAN-001,180,GBPUSD,370,-0.8019613024906525,False
SR-CLEAN-001,180,USDCAD,291,-0.7646418158662734,False
SR-CLEAN-001,180,USDCHF,311,-0.7618396127330964,False
SR-CLEAN-001,180,USDJPY,234,-0.9003122575162041,False
SR-CLEAN-001,300,AUDUSD,304,-0.6916751030428415,False
SR-CLEAN-001,300,EURUSD,333,-0.7210975328487038,False
SR-CLEAN-001,300,GBPUSD,368,-0.7093046573809675,False
SR-CLEAN-001,300,USDCAD,300,-0.7689194235951463,False
SR-CLEAN-001,300,USDCHF,309,-0.6312980229670406,False
SR-CLEAN-001,300,USDJPY,226,-0.743162963388418,False
SR-CLEAN-001,600,AUDUSD,287,-0.4613436885638882,False
SR-CLEAN-001,600,EURUSD,318,-0.648779308327871,False
SR-CLEAN-001,600,GBPUSD,353,-0.537920379949994,False
SR-CLEAN-001,600,USDCAD,286,-0.5220717367031426,False
SR-CLEAN-001,600,USDCHF,293,-0.4147655901348721,False
SR-CLEAN-001,600,USDJPY,228,-0.6578389614766506,False
SR-CLEAN-001,900,AUDUSD,279,-0.714815408167747,False
SR-CLEAN-001,900,EURUSD,307,-0.8772257953480205,False
SR-CLEAN-001,900,GBPUSD,343,-0.7212257840470855,False
SR-CLEAN-001,900,USDCAD,278,-0.7628505469184378,False
SR-CLEAN-001,900,USDCHF,293,-0.5993536707095649,False
SR-CLEAN-001,900,USDJPY,215,-0.6190552562824625,False
SR-REV-001,5,AUDUSD,532,-1.2675391669968457,False
SR-REV-001,5,EURUSD,580,-1.2282668891047812,False
SR-REV-001,5,GBPUSD,647,-1.2529400638270285,False
SR-REV-001,5,USDCAD,496,-1.2658637615258435,False
SR-REV-001,5,USDCHF,556,-1.2685506776126372,False
SR-REV-001,5,USDJPY,424,-1.2327845523391752,False
SR-REV-001,10,AUDUSD,518,-1.3343813827434337,False
SR-REV-001,10,EURUSD,549,-1.2677892134637754,False
SR-REV-001,10,GBPUSD,622,-1.304153155886213,False
SR-REV-001,10,USDCAD,477,-1.3090218251655044,False
SR-REV-001,10,USDCHF,539,-1.3258783052293908,False
SR-REV-001,10,USDJPY,405,-1.2801367907891334,False
SR-REV-001,30,AUDUSD,506,-1.246822066298091,False
SR-REV-001,30,EURUSD,538,-1.2062453942328328,False
SR-REV-001,30,GBPUSD,610,-1.227575812572142,False
SR-REV-001,30,USDCAD,475,-1.2229860552167098,False
SR-REV-001,30,USDCHF,528,-1.2370570729810797,False
SR-REV-001,30,USDJPY,393,-1.2248053034859576,False
SR-REV-001,60,AUDUSD,479,-1.2156354614483282,False
SR-REV-001,60,EURUSD,505,-1.1771876995768003,False
SR-REV-001,60,GBPUSD,575,-1.1987633113466807,False
SR-REV-001,60,USDCAD,437,-1.2042182874162886,False
SR-REV-001,60,USDCHF,507,-1.2129317882419903,False
SR-REV-001,60,USDJPY,372,-1.1806092299401203,False
SR-REV-001,120,AUDUSD,496,-1.264858392687697,False
SR-REV-001,120,EURUSD,526,-1.196451386958179,False
SR-REV-001,120,GBPUSD,591,-1.260816000158312,False
SR-REV-001,120,USDCAD,442,-1.2691375098980406,False
SR-REV-001,120,USDCHF,513,-1.2793632712449416,False
SR-REV-001,120,USDJPY,387,-1.3090276344639813,False
SR-REV-001,180,AUDUSD,490,-1.3140731676116266,False
SR-REV-001,180,EURUSD,523,-1.2325927986092318,False
SR-REV-001,180,GBPUSD,592,-1.289145168879819,False
SR-REV-001,180,USDCAD,458,-1.259801040923269,False
SR-REV-001,180,USDCHF,519,-1.3081173480699544,False
SR-REV-001,180,USDJPY,378,-1.3445822585024405,False
SR-REV-001,300,AUDUSD,447,-1.4246218064930547,False
SR-REV-001,300,EURUSD,489,-1.3612155167804683,False
SR-REV-001,300,GBPUSD,532,-1.4049510955777078,False
SR-REV-001,300,USDCAD,394,-1.407343473739241,False
SR-REV-001,300,USDCHF,467,-1.3788746724039407,False
SR-REV-001,300,USDJPY,331,-1.476941980409111,False
SR-REV-001,600,AUDUSD,451,-1.3418416251016931,False
SR-REV-001,600,EURUSD,496,-1.3084227674583884,False
SR-REV-001,600,GBPUSD,550,-1.3476111462189555,False
SR-REV-001,600,USDCAD,426,-1.3041612678269452,False
SR-REV-001,600,USDCHF,484,-1.3555405916944063,False
SR-REV-001,600,USDJPY,343,-1.454641135939086,False
SR-REV-001,900,AUDUSD,426,-1.2016928153640642,False
SR-REV-001,900,EURUSD,479,-1.241799639070737,False
SR-REV-001,900,GBPUSD,526,-1.2267041621718417,False
SR-REV-001,900,USDCAD,407,-1.3065611047919021,False
SR-REV-001,900,USDCHF,474,-1.23313829209911,False
SR-REV-001,900,USDJPY,318,-1.1256744359883595,False
