cohort,horizon_seconds,omitted_server_day,episodes,mean_exec_spread_multiple
ALL,180,2025-03-21,1220,-0.9667419371479664
ALL,180,2025-03-24,1209,-0.9724336148826604
ALL,180,2025-03-25,1237,-0.986346744569744
ALL,180,2025-03-26,1219,-0.9688046543125713
ALL,180,2025-03-27,1215,-0.9921360122656991
ALL,180,2025-03-28,1237,-0.9795547068009269
ALL,180,2025-03-31,1207,-0.9538815358904337
ALL,300,2025-03-03,1190,-0.9827562798263371
ALL,300,2025-03-04,1143,-1.0062984625226388
ALL,300,2025-03-05,1113,-0.965608211467837
ALL,300,2025-03-06,1105,-0.9582634566799152
ALL,300,2025-03-07,1120,-1.010067064581692
ALL,300,2025-03-10,1120,-0.9499234205077639
ALL,300,2025-03-11,1115,-1.0525134786598365
ALL,300,2025-03-12,1149,-0.9738489642602696
ALL,300,2025-03-13,1137,-0.9889971005048873
ALL,300,2025-03-14,1155,-0.9862577047875856
ALL,300,2025-03-17,1161,-0.9830784613416758
ALL,300,2025-03-18,1161,-0.9720495375658986
ALL,300,2025-03-19,1154,-1.0017581708999221
ALL,300,2025-03-20,1149,-1.0055303017750745
ALL,300,2025-03-21,1170,-0.9975702728733877
ALL,300,2025-03-24,1164,-0.9910952888302018
ALL,300,2025-03-25,1168,-0.9891943828118414
ALL,300,2025-03-26,1155,-0.9845476811170571
ALL,300,2025-03-27,1147,-0.9968628601811793
ALL,300,2025-03-28,1169,-0.9867870089466099
ALL,300,2025-03-31,1135,-0.9831514118230349
ALL,600,2025-03-03,1199,-0.9396113911137679
ALL,600,2025-03-04,1146,-0.9029172626203419
ALL,600,2025-03-05,1125,-0.8810007711273364
ALL,600,2025-03-06,1101,-0.9139844258389674
ALL,600,2025-03-07,1112,-0.9212806589933616
ALL,600,2025-03-10,1145,-0.9032387357723112
ALL,600,2025-03-11,1118,-0.9478560073460663
ALL,600,2025-03-12,1140,-0.9495802834575834
ALL,600,2025-03-13,1135,-0.9141428610240327
ALL,600,2025-03-14,1159,-0.9324263135383108
ALL,600,2025-03-17,1160,-0.9294260670699106
ALL,600,2025-03-18,1174,-0.9314373089347044
ALL,600,2025-03-19,1163,-0.960347041446597
ALL,600,2025-03-20,1166,-0.9482218349566888
ALL,600,2025-03-21,1171,-0.9147703447345359
ALL,600,2025-03-24,1160,-0.9562984456786812
ALL,600,2025-03-25,1182,-0.9246030789679238
ALL,600,2025-03-26,1156,-0.9753279600101118
ALL,600,2025-03-27,1160,-0.9488562244886233
ALL,600,2025-03-28,1166,-0.9189967980535645
ALL,600,2025-03-31,1142,-0.926494717681013
ALL,900,2025-03-03,1173,-0.8404996449102173
ALL,900,2025-03-04,1132,-0.8625907910539508
ALL,900,2025-03-05,1096,-0.824503702780921
ALL,900,2025-03-06,1085,-0.828309621432388
ALL,900,2025-03-07,1096,-0.7979744211322185
ALL,900,2025-03-10,1116,-0.8489236592824815
ALL,900,2025-03-11,1086,-0.8794544816075841
ALL,900,2025-03-12,1118,-0.9051827777082483
ALL,900,2025-03-13,1116,-0.8366866600918134
ALL,900,2025-03-14,1133,-0.8769720069883183
ALL,900,2025-03-17,1146,-0.8830365982420642
ALL,900,2025-03-18,1142,-0.8748818551248692
ALL,900,2025-03-19,1140,-0.917671245735491
ALL,900,2025-03-20,1134,-0.8889408244846774
ALL,900,2025-03-21,1140,-0.8614155217559446
ALL,900,2025-03-24,1143,-0.8894696590417999
ALL,900,2025-03-25,1155,-0.8826812661291178
ALL,900,2025-03-26,1132,-0.8921885153116763
ALL,900,2025-03-27,1135,-0.895109539552112
ALL,900,2025-03-28,1145,-0.8899456280325193
ALL,900,2025-03-31,1137,-0.8503526057297625
SR-CLEAN-001,5,2025-03-03,414,-0.9095798716076899
SR-CLEAN-001,5,2025-03-04,396,-0.9182979320872494
SR-CLEAN-001,5,2025-03-05,390,-0.9057767373997259
SR-CLEAN-001,5,2025-03-06,393,-0.9179469712966933
SR-CLEAN-001,5,2025-03-07,393,-0.90694434527304
SR-CLEAN-001,5,2025-03-10,391,-0.8979703894564712
SR-CLEAN-001,5,2025-03-11,386,-0.899692067679653
SR-CLEAN-001,5,2025-03-12,401,-0.861320191114648
SR-CLEAN-001,5,2025-03-13,393,-0.9205014555895944
SR-CLEAN-001,5,2025-03-14,409,-0.8982532329966633
SR-CLEAN-001,5,2025-03-17,399,-0.9037740207425764
SR-CLEAN-001,5,2025-03-18,401,-0.9054344397928374
SR-CLEAN-001,5,2025-03-19,408,-0.9045093575243022
SR-CLEAN-001,5,2025-03-20,400,-0.9058608038729915
SR-CLEAN-001,5,2025-03-21,401,-0.9115060787838848
SR-CLEAN-001,5,2025-03-24,395,-0.9069654894066553
SR-CLEAN-001,5,2025-03-25,403,-0.9045690672877699
SR-CLEAN-001,5,2025-03-26,400,-0.8968662986409154
SR-CLEAN-001,5,2025-03-27,390,-0.9124867324325672
SR-CLEAN-001,5,2025-03-28,403,-0.9151986721896226
SR-CLEAN-001,5,2025-03-31,394,-0.8979616437276353
SR-CLEAN-001,10,2025-03-03,381,-0.7706983558219097
SR-CLEAN-001,10,2025-03-04,366,-0.7698818008869935
SR-CLEAN-001,10,2025-03-05,362,-0.7594351782686473
SR-CLEAN-001,10,2025-03-06,356,-0.7846947869794688
SR-CLEAN-001,10,2025-03-07,356,-0.7857989616256443
SR-CLEAN-001,10,2025-03-10,352,-0.7659441630224545
SR-CLEAN-001,10,2025-03-11,358,-0.7730434408884368
SR-CLEAN-001,10,2025-03-12,363,-0.743152972242984
SR-CLEAN-001,10,2025-03-13,360,-0.7997057823497411
SR-CLEAN-001,10,2025-03-14,370,-0.7674887161064842
SR-CLEAN-001,10,2025-03-17,363,-0.7641299806318269
SR-CLEAN-001,10,2025-03-18,374,-0.7646477449911873
SR-CLEAN-001,10,2025-03-19,374,-0.7726509768893808
SR-CLEAN-001,10,2025-03-20,366,-0.7661196503179495
SR-CLEAN-001,10,2025-03-21,371,-0.7910951531797606
SR-CLEAN-001,10,2025-03-24,369,-0.7803413885689339
SR-CLEAN-001,10,2025-03-25,370,-0.7695803243811071
SR-CLEAN-001,10,2025-03-26,368,-0.7625434717912905
SR-CLEAN-001,10,2025-03-27,368,-0.7799568110580531
SR-CLEAN-001,10,2025-03-28,371,-0.7889188509741079
SR-CLEAN-001,10,2025-03-31,362,-0.7627618989297348
SR-CLEAN-001,30,2025-03-03,385,-0.7758151936460893
SR-CLEAN-001,30,2025-03-04,370,-0.7717656622683965
SR-CLEAN-001,30,2025-03-05,363,-0.7998537862473112
SR-CLEAN-001,30,2025-03-06,360,-0.7663683279711939
SR-CLEAN-001,30,2025-03-07,357,-0.8184033409469386
SR-CLEAN-001,30,2025-03-10,356,-0.7604359514558742
SR-CLEAN-001,30,2025-03-11,360,-0.7817528167252908
SR-CLEAN-001,30,2025-03-12,366,-0.7317684288848376
SR-CLEAN-001,30,2025-03-13,366,-0.7988669371905756
SR-CLEAN-001,30,2025-03-14,376,-0.7728787066954386
SR-CLEAN-001,30,2025-03-17,366,-0.7644756614039273
SR-CLEAN-001,30,2025-03-18,368,-0.7640581760493097
SR-CLEAN-001,30,2025-03-19,378,-0.7714449526504318
SR-CLEAN-001,30,2025-03-20,370,-0.7855967389746611
SR-CLEAN-001,30,2025-03-21,374,-0.7853762401524113
SR-CLEAN-001,30,2025-03-24,373,-0.7799966071361493
SR-CLEAN-001,30,2025-03-25,376,-0.7679779778829512
SR-CLEAN-001,30,2025-03-26,371,-0.7595429193130107
SR-CLEAN-001,30,2025-03-27,369,-0.7874576012421852
SR-CLEAN-001,30,2025-03-28,373,-0.8161777017488872
SR-CLEAN-001,30,2025-03-31,363,-0.7365840889926923
SR-CLEAN-001,60,2025-03-03,371,-0.7136993140974307
SR-CLEAN-001,60,2025-03-04,357,-0.7306490414183588
SR-CLEAN-001,60,2025-03-05,350,-0.7170695214508468
SR-CLEAN-001,60,2025-03-06,355,-0.7077060410025107
SR-CLEAN-001,60,2025-03-07,347,-0.7232894140638947
SR-CLEAN-001,60,2025-03-10,342,-0.7256924692934514
SR-CLEAN-001,60,2025-03-11,350,-0.7194252113663315
SR-CLEAN-001,60,2025-03-12,351,-0.6924997984764354
SR-CLEAN-001,60,2025-03-13,351,-0.7106570642696072
SR-CLEAN-001,60,2025-03-14,361,-0.7039716569037779
SR-CLEAN-001,60,2025-03-17,357,-0.6909159378936366
SR-CLEAN-001,60,2025-03-18,360,-0.7099063750372462
SR-CLEAN-001,60,2025-03-19,368,-0.695047264810512
SR-CLEAN-001,60,2025-03-20,356,-0.693199469408404
SR-CLEAN-001,60,2025-03-21,365,-0.7163241970675761
SR-CLEAN-001,60,2025-03-24,359,-0.6947833357097413
SR-CLEAN-001,60,2025-03-25,365,-0.6937378928291599
SR-CLEAN-001,60,2025-03-26,358,-0.6871937300179011
SR-CLEAN-001,60,2025-03-27,352,-0.7149317746763071
SR-CLEAN-001,60,2025-03-28,357,-0.7489717093019561
SR-CLEAN-001,60,2025-03-31,348,-0.680908846665988
SR-CLEAN-001,120,2025-03-03,362,-0.6155201946236014
SR-CLEAN-001,120,2025-03-04,347,-0.6508789200884386
SR-CLEAN-001,120,2025-03-05,337,-0.6610557009947062
SR-CLEAN-001,120,2025-03-06,337,-0.608407079451938
SR-CLEAN-001,120,2025-03-07,339,-0.6411853274436446
SR-CLEAN-001,120,2025-03-10,338,-0.578242170751282
SR-CLEAN-001,120,2025-03-11,342,-0.587718463692427
SR-CLEAN-001,120,2025-03-12,348,-0.6182929192772745
SR-CLEAN-001,120,2025-03-13,339,-0.5831865234906267
SR-CLEAN-001,120,2025-03-14,356,-0.6040812382504406
SR-CLEAN-001,120,2025-03-17,353,-0.6061522483564276
SR-CLEAN-001,120,2025-03-18,352,-0.604927379390918
SR-CLEAN-001,120,2025-03-19,353,-0.6072571227051379
SR-CLEAN-001,120,2025-03-20,349,-0.5986014514494042
SR-CLEAN-001,120,2025-03-21,353,-0.6050209266257708
SR-CLEAN-001,120,2025-03-24,351,-0.6046535648170405
SR-CLEAN-001,120,2025-03-25,351,-0.5900655504831075
SR-CLEAN-001,120,2025-03-26,349,-0.593954775433293
SR-CLEAN-001,120,2025-03-27,344,-0.6102897561622864
SR-CLEAN-001,120,2025-03-28,352,-0.6206932508950188
SR-CLEAN-001,120,2025-03-31,348,-0.5527152532593204
SR-CLEAN-001,180,2025-03-03,368,-0.8103958747868039
SR-CLEAN-001,180,2025-03-04,354,-0.8587476564035623
SR-CLEAN-001,180,2025-03-05,346,-0.8678256201829235
SR-CLEAN-001,180,2025-03-06,345,-0.7699070842999735
SR-CLEAN-001,180,2025-03-07,342,-0.8022476621936733
SR-CLEAN-001,180,2025-03-10,343,-0.744071853279024
SR-CLEAN-001,180,2025-03-11,339,-0.8203015357933847
SR-CLEAN-001,180,2025-03-12,353,-0.7599654702871125
SR-CLEAN-001,180,2025-03-13,348,-0.8005806426482315
SR-CLEAN-001,180,2025-03-14,357,-0.8065780615956349
SR-CLEAN-001,180,2025-03-17,357,-0.8048225236596291
SR-CLEAN-001,180,2025-03-18,359,-0.8182654633038959
SR-CLEAN-001,180,2025-03-19,364,-0.7973486992122734
SR-CLEAN-001,180,2025-03-20,357,-0.804626632723153
SR-CLEAN-001,180,2025-03-21,356,-0.7930823355590049
SR-CLEAN-001,180,2025-03-24,348,-0.7982494396666335
SR-CLEAN-001,180,2025-03-25,356,-0.7963932047232763
SR-CLEAN-001,180,2025-03-26,359,-0.8073932665668614
SR-CLEAN-001,180,2025-03-27,348,-0.8313159847506035
SR-CLEAN-001,180,2025-03-28,357,-0.7990899636664494
SR-CLEAN-001,180,2025-03-31,344,-0.7479154989012472
SR-CLEAN-001,300,2025-03-03,365,-0.7039433386152486
SR-CLEAN-001,300,2025-03-04,350,-0.7181510551672489
SR-CLEAN-001,300,2025-03-05,345,-0.7810384210115922
SR-CLEAN-001,300,2025-03-06,343,-0.664774109390021
SR-CLEAN-001,300,2025-03-07,342,-0.8013078242475
SR-CLEAN-001,300,2025-03-10,340,-0.6486240797066506
SR-CLEAN-001,300,2025-03-11,338,-0.752224457954247
SR-CLEAN-001,300,2025-03-12,349,-0.6777799848590443
SR-CLEAN-001,300,2025-03-13,343,-0.7127521171988392
SR-CLEAN-001,300,2025-03-14,358,-0.7311110709651482
SR-CLEAN-001,300,2025-03-17,351,-0.6978105039548674
SR-CLEAN-001,300,2025-03-18,356,-0.7099485021501232
SR-CLEAN-001,300,2025-03-19,360,-0.7029994507092235
SR-CLEAN-001,300,2025-03-20,351,-0.7074472767603931
SR-CLEAN-001,300,2025-03-21,358,-0.7174601767920902
SR-CLEAN-001,300,2025-03-24,354,-0.7200481989312448
SR-CLEAN-001,300,2025-03-25,353,-0.6884217752374941
SR-CLEAN-001,300,2025-03-26,351,-0.6814025797417151
SR-CLEAN-001,300,2025-03-27,350,-0.6924612743906366
SR-CLEAN-001,300,2025-03-28,358,-0.6965336073021303
SR-CLEAN-001,300,2025-03-31,345,-0.6910307425650889
SR-CLEAN-001,600,2025-03-03,351,-0.5505820945156228
SR-CLEAN-001,600,2025-03-04,333,-0.47494289798248307
SR-CLEAN-001,600,2025-03-05,335,-0.6239244671630612
SR-CLEAN-001,600,2025-03-06,322,-0.5660660827771635
SR-CLEAN-001,600,2025-03-07,327,-0.5717508711395408
SR-CLEAN-001,600,2025-03-10,330,-0.46511343220203777
SR-CLEAN-001,600,2025-03-11,330,-0.5451069189988244
SR-CLEAN-001,600,2025-03-12,332,-0.5377698887568063
SR-CLEAN-001,600,2025-03-13,327,-0.5592947811266118
SR-CLEAN-001,600,2025-03-14,344,-0.5134066704018501
SR-CLEAN-001,600,2025-03-17,333,-0.4703391344053148
SR-CLEAN-001,600,2025-03-18,344,-0.5176526704918356
SR-CLEAN-001,600,2025-03-19,343,-0.5240993291916729
SR-CLEAN-001,600,2025-03-20,342,-0.5475523732930038
SR-CLEAN-001,600,2025-03-21,342,-0.5432861144132233
SR-CLEAN-001,600,2025-03-24,341,-0.5424355291720993
SR-CLEAN-001,600,2025-03-25,343,-0.48724348202777024
SR-CLEAN-001,600,2025-03-26,340,-0.5953653475454622
SR-CLEAN-001,600,2025-03-27,341,-0.587103682782884
SR-CLEAN-001,600,2025-03-28,336,-0.5700899399787943
SR-CLEAN-001,600,2025-03-31,324,-0.5026029583092004
SR-CLEAN-001,900,2025-03-03,339,-0.7651099020461911
SR-CLEAN-001,900,2025-03-04,327,-0.671557227434574
SR-CLEAN-001,900,2025-03-05,320,-0.8911730148863967
SR-CLEAN-001,900,2025-03-06,316,-0.7675669870679299
SR-CLEAN-001,900,2025-03-07,321,-0.7748356907365079
SR-CLEAN-001,900,2025-03-10,315,-0.635320038934251
SR-CLEAN-001,900,2025-03-11,312,-0.6643131635157233
SR-CLEAN-001,900,2025-03-12,328,-0.7119644053266084
SR-CLEAN-001,900,2025-03-13,328,-0.7284266649837923
SR-CLEAN-001,900,2025-03-14,336,-0.7107180380727516
SR-CLEAN-001,900,2025-03-17,330,-0.6489921943997582
SR-CLEAN-001,900,2025-03-18,331,-0.7207307108295385
SR-CLEAN-001,900,2025-03-19,335,-0.747801937629963
SR-CLEAN-001,900,2025-03-20,324,-0.6795022054411505
SR-CLEAN-001,900,2025-03-21,327,-0.6966758490150572
SR-CLEAN-001,900,2025-03-24,329,-0.6748048709556729
SR-CLEAN-001,900,2025-03-25,333,-0.7376204007263398
SR-CLEAN-001,900,2025-03-26,326,-0.7246148898170567
SR-CLEAN-001,900,2025-03-27,330,-0.7263109219499334
SR-CLEAN-001,900,2025-03-28,328,-0.8141980713751754
SR-CLEAN-001,900,2025-03-31,325,-0.6514784320144131
SR-REV-001,5,2025-03-03,642,-1.2510750412432337
SR-REV-001,5,2025-03-04,616,-1.2534410240914773
SR-REV-001,5,2025-03-05,594,-1.2552338880391032
SR-REV-001,5,2025-03-06,599,-1.2637620389952946
SR-REV-001,5,2025-03-07,600,-1.2543452772018318
SR-REV-001,5,2025-03-10,611,-1.2511928242675385
SR-REV-001,5,2025-03-11,601,-1.2500924149134474
SR-REV-001,5,2025-03-12,607,-1.2558166984519827
SR-REV-001,5,2025-03-13,615,-1.238304472081318
SR-REV-001,5,2025-03-14,616,-1.2554390382377025
SR-REV-001,5,2025-03-17,628,-1.2552333282049888
SR-REV-001,5,2025-03-18,618,-1.2529358126713048
SR-REV-001,5,2025-03-19,610,-1.2540407616349958
SR-REV-001,5,2025-03-20,619,-1.2476101040032905
SR-REV-001,5,2025-03-21,633,-1.255098789226042
SR-REV-001,5,2025-03-24,618,-1.2494204674564342
SR-REV-001,5,2025-03-25,632,-1.2529300107075854
SR-REV-001,5,2025-03-26,619,-1.25960666743266
SR-REV-001,5,2025-03-27,618,-1.2511474011679617
SR-REV-001,5,2025-03-28,623,-1.2614788951305171
SR-REV-001,5,2025-03-31,621,-1.2438610745736405
SR-REV-001,10,2025-03-03,618,-1.3062670651180504
SR-REV-001,10,2025-03-04,592,-1.3020407635552251
SR-REV-001,10,2025-03-05,579,-1.3164401215927395
SR-REV-001,10,2025-03-06,564,-1.3095820381783565
SR-REV-001,10,2025-03-07,576,-1.2861204080118458
SR-REV-001,10,2025-03-10,588,-1.3003677125424862
SR-REV-001,10,2025-03-11,571,-1.3049801568581278
SR-REV-001,10,2025-03-12,591,-1.3037351329682316
SR-REV-001,10,2025-03-13,584,-1.2939332690346068
SR-REV-001,10,2025-03-14,588,-1.3013662311717693
SR-REV-001,10,2025-03-17,605,-1.303189311369615
SR-REV-001,10,2025-03-18,601,-1.3057926160129538
SR-REV-001,10,2025-03-19,584,-1.310702353898437
SR-REV-001,10,2025-03-20,590,-1.3019851527310708
SR-REV-001,10,2025-03-21,614,-1.3055065786921884
SR-REV-001,10,2025-03-24,596,-1.2959894734646757
SR-REV-001,10,2025-03-25,609,-1.3068506654222707
SR-REV-001,10,2025-03-26,602,-1.3104491950367296
SR-REV-001,10,2025-03-27,597,-1.3048278469772354
SR-REV-001,10,2025-03-28,598,-1.3162826295932206
SR-REV-001,10,2025-03-31,593,-1.3003762582597262
SR-REV-001,30,2025-03-03,606,-1.2295339297994665
SR-REV-001,30,2025-03-04,580,-1.2359579256171715
SR-REV-001,30,2025-03-05,562,-1.2231725891835519
SR-REV-001,30,2025-03-06,556,-1.2061254011361402
SR-REV-001,30,2025-03-07,567,-1.2246424245338996
SR-REV-001,30,2025-03-10,577,-1.2156657845798844
SR-REV-001,30,2025-03-11,566,-1.2380222176667293
SR-REV-001,30,2025-03-12,574,-1.2217253137935404
SR-REV-001,30,2025-03-13,572,-1.209286081076056
SR-REV-001,30,2025-03-14,581,-1.2305720191309855
SR-REV-001,30,2025-03-17,590,-1.2262076892652665
SR-REV-001,30,2025-03-18,586,-1.2356158811609808
SR-REV-001,30,2025-03-19,574,-1.2281331979466947
SR-REV-001,30,2025-03-20,581,-1.228250741855454
SR-REV-001,30,2025-03-21,594,-1.2278763826028851
SR-REV-001,30,2025-03-24,590,-1.2392853588957693
SR-REV-001,30,2025-03-25,597,-1.2285637595155114
SR-REV-001,30,2025-03-26,586,-1.233111439511979
SR-REV-001,30,2025-03-27,590,-1.2396896466840663
SR-REV-001,30,2025-03-28,583,-1.2419701445180373
SR-REV-001,30,2025-03-31,588,-1.2139334544673266
SR-REV-001,60,2025-03-03,573,-1.2016669422239283
SR-REV-001,60,2025-03-04,552,-1.2032808208791308
SR-REV-001,60,2025-03-05,531,-1.1699874184928196
SR-REV-001,60,2025-03-06,526,-1.1722745502260932
SR-REV-001,60,2025-03-07,535,-1.1690124289311081
SR-REV-001,60,2025-03-10,540,-1.1913966811428605
SR-REV-001,60,2025-03-11,537,-1.2271541080721404
SR-REV-001,60,2025-03-12,544,-1.180634069969772
SR-REV-001,60,2025-03-13,544,-1.189230173874087
SR-REV-001,60,2025-03-14,549,-1.1997858850951908
SR-REV-001,60,2025-03-17,558,-1.2120989002885814
SR-REV-001,60,2025-03-18,548,-1.2054267362015731
SR-REV-001,60,2025-03-19,545,-1.2010685001273618
SR-REV-001,60,2025-03-20,550,-1.2344789829485732
SR-REV-001,60,2025-03-21,551,-1.1935613946285502
SR-REV-001,60,2025-03-24,554,-1.2083874094874787
SR-REV-001,60,2025-03-25,566,-1.2013766920177276
SR-REV-001,60,2025-03-26,550,-1.204084335761706
SR-REV-001,60,2025-03-27,545,-1.199545255091161
SR-REV-001,60,2025-03-28,552,-1.2247541744247241
SR-REV-001,60,2025-03-31,550,-1.1815893436093865
SR-REV-001,120,2025-03-03,587,-1.2543223910770533
SR-REV-001,120,2025-03-04,562,-1.273372122971388
SR-REV-001,120,2025-03-05,547,-1.2216723728293
SR-REV-001,120,2025-03-06,543,-1.2179261552779845
SR-REV-001,120,2025-03-07,555,-1.2327556548143932
SR-REV-001,120,2025-03-10,557,-1.2745130554294406
SR-REV-001,120,2025-03-11,551,-1.3007174100055494
SR-REV-001,120,2025-03-12,557,-1.2519633355763888
SR-REV-001,120,2025-03-13,556,-1.2389817107432124
SR-REV-001,120,2025-03-14,555,-1.2646368264677923
SR-REV-001,120,2025-03-17,579,-1.257983038714102
SR-REV-001,120,2025-03-18,576,-1.2740835883627046
SR-REV-001,120,2025-03-19,560,-1.2633159787085895
SR-REV-001,120,2025-03-20,561,-1.2984838031316988
SR-REV-001,120,2025-03-21,571,-1.2584241021087648
SR-REV-001,120,2025-03-24,568,-1.2663020450490585
SR-REV-001,120,2025-03-25,578,-1.2682968381576794
SR-REV-001,120,2025-03-26,560,-1.2699008598137285
SR-REV-001,120,2025-03-27,566,-1.2635904362367325
SR-REV-001,120,2025-03-28,566,-1.2761698391600371
