scenario,nearest_obstacle_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
london_first120_reference,previous_day_low,1,0,0.0,-24.2,0,-24.2,0.0,-1.0,-1.0,0.0,24.2,-1.0
london_first120_reference,recent_rejection_zone,2,1,0.5,10.559999999999999,34.0,-23.44,1.4505119453924913,0.4787999999999999,0.23939999999999995,1.4677608440797185,23.44,0.4505119453924914
london_first120_reference,round_number,6,4,0.6666666666666666,71.94,102.99,-31.05,3.3169082125603864,2.9191000000000003,0.4865166666666667,3.201266872784858,23.76,3.0277777777777777
london_first120_reference,session_high,1,1,1.0,37.75,37.75,0,inf,1.51,1.51,inf,0.0,inf
newyork_first120_reference,current_day_high,4,0,0.0,-58.78,0,-58.78,0.0,-2.4410000000000003,-0.6102500000000001,0.0,58.78,-1.0
newyork_first120_reference,current_day_low,5,0,0.0,-110.15,0,-110.15,0.0,-4.6665,-0.9333,0.0,110.15,-1.0
newyork_first120_reference,failed_breakout_level,3,0,0.0,-70.91,0,-70.91,0.0,-2.9088,-0.9695999999999999,0.0,70.91,-1.0
newyork_first120_reference,pre_session_high,9,4,0.4444444444444444,-25.330000000000005,53.82,-79.15,0.6799747315224257,-0.9645000000000001,-0.10716666666666669,0.7192057992954671,67.45,-0.37553743513713866
newyork_first120_reference,pre_session_low,4,1,0.25,-41.85,6.84,-48.690000000000005,0.14048059149722733,-1.7258,-0.43145,0.15410253896676795,41.85,-1.0
newyork_first120_reference,previous_week_high,1,1,1.0,1.82,1.82,0,inf,0.2121,0.2121,inf,0.0,inf
newyork_first120_reference,recent_equal_highs,4,2,0.5,-0.3200000000000074,49.11,-49.43,0.9935261986647784,0.08230000000000004,0.02057500000000001,1.0391886100661873,49.43,-0.006473801335221675
newyork_first120_reference,recent_equal_lows,4,1,0.25,-37.339999999999996,2.26,-39.599999999999994,0.05707070707070707,-1.4475999999999998,-0.36189999999999994,0.07678571428571429,37.339999999999996,-1.0
newyork_first120_reference,recent_rejection_zone,3,1,0.3333333333333333,8.070000000000004,35.88,-27.81,1.290183387270766,0.31899999999999995,0.10633333333333332,1.2701100762066044,27.81,0.29018338727076604
newyork_first120_reference,round_number,3,1,0.3333333333333333,-35.01,2.48,-37.49,0.06615097359295811,-1.5895,-0.5298333333333333,0.08359757855289708,37.489999999999995,-0.9338490264070419
newyork_first120_reference,session_high,1,0,0.0,-27.68,0,-27.68,0.0,-1.1689,-1.1689,0.0,27.68,-1.0
newyork_first120_reference,session_low,2,0,0.0,-28.25,0,-28.25,0.0,-1.2327000000000001,-0.6163500000000001,0.0,28.25,-1.0
newyork_first120_reference,wick_cluster_zone,6,1,0.16666666666666666,-92.01,35.82,-127.83,0.28021591175780336,-3.8137,-0.6356166666666666,0.2818431756553178,102.08000000000001,-0.9013518808777429
overlap_first120_reference,current_day_high,5,1,0.2,-47.18,34.17,-81.35000000000001,0.4200368776889981,-1.9454000000000002,-0.38908000000000004,0.4359524499855031,49.1,-0.9608961303462321
overlap_first120_reference,current_day_low,4,0,0.0,-93.30000000000001,0,-93.30000000000001,0.0,-4.0266,-1.00665,0.0,93.30000000000001,-1.0
overlap_first120_reference,failed_breakout_level,3,2,0.6666666666666666,-5.520000000000001,18.78,-24.3,0.7728395061728396,-0.2118,-0.0706,0.788980771146757,24.3,-0.22716049382716055
overlap_first120_reference,pre_session_high,5,3,0.6,55.21,104.58,-49.370000000000005,2.1182904597933967,2.4919000000000002,0.49838000000000005,2.2061471442400777,49.370000000000005,1.1182904597933967
overlap_first120_reference,pre_session_low,1,1,1.0,37.28,37.28,0,inf,1.522,1.522,inf,0.0,inf
overlap_first120_reference,recent_equal_highs,5,1,0.2,-44.019999999999996,37.19,-81.21,0.4579485285063416,-1.8084999999999998,-0.36169999999999997,0.45298085357369716,74.36999999999999,-0.5919053381739949
overlap_first120_reference,recent_equal_lows,2,0,0.0,-47.67,0,-47.67,0.0,-2.0111,-1.00555,0.0,47.67,-1.0
overlap_first120_reference,round_number,4,2,0.5,41.620000000000005,63.25,-21.63,2.9241793804900604,1.7083,0.427075,2.8635322351914474,11.7,3.557264957264958
