scenario,symbol_session,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,USDJPY_new_york,16,4,0.25,-177.9,72.53999999999999,-250.44000000000003,0.28965021562050786,-7.759,-0.4849375,0.290164399352283,183.04000000000002,-0.9719187062937062
session_reversal_pullback_all_symbols_first120,USDJPY_tokyo,15,7,0.4666666666666667,41.879999999999995,209.99999999999997,-168.12,1.2491077801570305,1.9405000000000001,0.12936666666666669,1.265063038697428,57.599999999999994,0.7270833333333333
session_reversal_pullback_one_symbol_first120,AUDJPY_london,3,1,0.3333333333333333,5.129999999999996,36.08,-30.950000000000003,1.1657512116316637,0.17679999999999996,0.05893333333333332,1.133323278787422,23.76,0.21590909090909075
session_reversal_pullback_one_symbol_first120,AUDJPY_london_newyork_overlap,1,0,0.0,-25.57,0,-25.57,0.0,-1.0631,-1.0631,0.0,25.57,-1.0
session_reversal_pullback_one_symbol_first120,EURJPY_london,1,0,0.0,-23.72,0,-23.72,0.0,-1.0146,-1.0146,0.0,23.72,-1.0
session_reversal_pullback_one_symbol_first120,EURJPY_london_newyork_overlap,4,3,0.75,80.93,104.99000000000001,-24.06,4.363674147963425,3.4957000000000003,0.8739250000000001,4.4957,24.060000000000002,3.3636741479634247
session_reversal_pullback_one_symbol_first120,EURJPY_new_york,3,1,0.3333333333333333,3.909999999999997,35.76,-31.85,1.1227629513343798,0.2743,0.09143333333333332,1.2200032082130254,31.85,0.12276295133437981
session_reversal_pullback_one_symbol_first120,EURJPY_tokyo,1,0,0.0,-22.99,0,-22.99,0.0,-1.0088,-1.0088,0.0,22.99,-1.0
session_reversal_pullback_one_symbol_first120,EURUSD_london_newyork_overlap,8,3,0.375,-19.070000000000004,80.48,-99.55000000000001,0.80843797086891,-0.9348999999999996,-0.11686249999999995,0.7852976299834651,76.60000000000001,-0.24895561357702353
session_reversal_pullback_one_symbol_first120,EURUSD_new_york,9,2,0.2222222222222222,-149.44,4.3,-153.73999999999998,0.02796929881618317,-6.0906,-0.6767333333333334,0.05538409045085844,151.92,-0.9836756187467088
session_reversal_pullback_one_symbol_first120,GBPJPY_london,3,3,1.0,104.05,104.05,0,inf,4.5152,1.5050666666666668,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,GBPJPY_london_newyork_overlap,2,1,0.5,-13.54,9.45,-22.99,0.41104828186167897,-0.6016000000000001,-0.30080000000000007,0.40500445059835816,22.99,-0.588951718138321
session_reversal_pullback_one_symbol_first120,GBPJPY_new_york,5,0,0.0,-66.07,0,-66.07,0.0,-2.7220000000000004,-0.5444000000000001,0.0,66.07,-1.0
session_reversal_pullback_one_symbol_first120,GBPJPY_tokyo,3,1,0.3333333333333333,-20.96,9.63,-30.59,0.31480876103301736,-0.8014999999999999,-0.2671666666666666,0.3672035370282647,30.59,-0.6851912389669828
session_reversal_pullback_one_symbol_first120,GBPUSD_london,4,3,0.75,85.03,108.9,-23.87,4.56221198156682,3.5034,0.87585,4.390496467627988,23.87,3.5622119815668203
session_reversal_pullback_one_symbol_first120,GBPUSD_london_newyork_overlap,8,1,0.125,-119.08,35.34,-154.42000000000002,0.22885636575573112,-5.0114,-0.626425,0.2302115174882106,119.08,-1.0
session_reversal_pullback_one_symbol_first120,GBPUSD_new_york,10,3,0.3,-114.81,27.419999999999998,-142.23000000000002,0.19278633199746886,-4.7264,-0.47264,0.20648724879539312,114.81,-1.0
session_reversal_pullback_one_symbol_first120,USDJPY_london,15,9,0.6,117.97,243.61999999999998,-125.64999999999999,1.9388778352566653,4.9723,0.33148666666666665,1.921957279537195,77.48,1.5225864739287558
session_reversal_pullback_one_symbol_first120,USDJPY_london_newyork_overlap,8,4,0.5,65.10000000000001,130.60000000000002,-65.5,1.9938931297709928,2.8186999999999998,0.35233749999999997,1.9880814666806887,23.56,2.7631578947368425
session_reversal_pullback_one_symbol_first120,USDJPY_new_york,14,4,0.2857142857142857,-115.29000000000002,72.53999999999999,-187.83,0.3862002874940105,-4.960800000000001,-0.3543428571428572,0.39000307408545953,120.43,-0.9573196047496472
session_reversal_pullback_one_symbol_first120,USDJPY_tokyo,14,7,0.5,53.78999999999999,218.68999999999997,-164.89999999999998,1.3261976955730745,2.2195,0.15853571428571428,1.3151848222780784,54.7,0.9833638025594148
session_reversal_pullback_one_symbol_first60,AUDJPY_london,3,1,0.3333333333333333,4.699999999999997,35.65,-30.950000000000003,1.1518578352180935,0.17679999999999996,0.05893333333333332,1.133323278787422,23.76,0.19781144781144766
session_reversal_pullback_one_symbol_first60,AUDJPY_london_newyork_overlap,1,0,0.0,-25.57,0,-25.57,0.0,-1.0631,-1.0631,0.0,25.57,-1.0
