scenario,htf_level_state,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
tokyo_first120_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,10,5,0.5,54.09999999999998,158.05,-103.95,1.5204425204425205,2.4029,0.24028999999999998,1.5595947834187236,79.78,0.6781148157432938
tokyo_first120_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,8,3,0.375,-43.78999999999999,72.55,-116.34,0.6236032319064809,-1.9936999999999998,-0.24921249999999998,0.6031095096848686,69.02999999999999,-0.6343618716500072
london_first120_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,19,13,0.6842105263157895,291.83000000000004,422.16,-130.32999999999998,3.2391621269086173,11.9465,0.6287631578947369,3.206186518928901,61.85,4.71835084882781
london_first120_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,7,3,0.42857142857142855,4.659999999999997,86.22,-81.56,1.0571358509073074,0.20660000000000034,0.029514285714285764,1.0616311675914325,81.56,0.05713585090730746
newyork_first120_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,27,9,0.3333333333333333,-172.09,143.10999999999999,-315.2,0.4540291878172589,-6.972299999999997,-0.2582333333333332,0.482851463411016,197.06000000000003,-0.8732873236577691
newyork_first120_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,22,3,0.13636363636363635,-345.65000000000003,44.92,-390.57,0.11501139360421948,-14.373299999999999,-0.6533318181818181,0.11846204798586922,353.75000000000006,-0.9771024734982332
overlap_first120_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,21,9,0.42857142857142855,6.95000000000001,257.97,-251.02,1.027687036889491,0.5119000000000005,0.0243761904761905,1.0489196395294387,69.88,0.09945621064682328
overlap_first120_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,11,3,0.2727272727272727,-65.25,108.08000000000001,-173.33,0.6235504528933249,-2.8097000000000003,-0.2554272727272728,0.6166063996725114,93.30000000000001,-0.6993569131832796
target_multiple_1_2_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,19,10,0.5263157894736842,79.74999999999999,232.32000000000002,-152.57,1.5227108868060564,3.486,0.18347368421052632,1.5507892117362658,73.35000000000001,1.0872528970688478
target_multiple_1_2_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,6,2,0.3333333333333333,-20.24,58.72,-78.96,0.7436676798378926,-0.9502000000000002,-0.15836666666666668,0.7165528144855771,71.69,-0.28232668433533264
target_multiple_2_0_reference,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,16,7,0.4375,52.16999999999999,204.5,-152.33,1.3424801417974135,2.3732999999999995,0.14833124999999997,1.3719381278503031,71.69,0.7277165573999161
target_multiple_2_0_reference,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,6,1,0.16666666666666666,-57.7,49.45,-107.15,0.461502566495567,-2.6028000000000002,-0.4338,0.43406318627557566,69.44,-0.8309331797235023
